Word Error Rate = 10.052616313455513
Known WER = 8.358903128677944
Unknown WER = 84.34602579034213
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$	NPS	TO	,
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0
CC	0	0.0	0	0.02	0.0	0	0	0	0	0	0.03	0	0.0	0	0	0	0	0.01	0	0	0	0	0	0	0.0	0	0.00	0.00	0	0	0	0	0	0	0	0	0
FW	0.06	0.0	0.0	0	0.00	0	0	0	0.0	0	0.0	0.0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0
MD	0.0	0	0	0	0	0.0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG	0.19	0	0.05	0	0	0	0	0	0	0	0	0.0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UH	0.01	0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
WDT	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0.02	0	0	0	0	0	0
RBS	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD|VB	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|VBN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
