------------------------------------------
Baseline:
Word Error Rate = 10.096022260742634
Known Word WER = 8.392027224112786
Unknown Word WER = 83.86933827243644
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$
JJ	4.44	0.05	-	1.11	0.06	0.43	-	0.01	0.01	0.02	1.24	1.71	0.74	0.80	0.08	0.01	0.19	0.10	0.40	1.12	-	-	-	0.02	0.01	0.04	-	0.03	-	-	-	-	-	-
NNS	2.01	-	0.01	-	-	-	-	-	-	-	-	0.04	0.13	-	-	-	-	-	1.27	-	-	1.27	-	-	0.11	-	-	-	-	-	-	-	-	-
VB	1.57	0.00	0.25	-	0.06	-	-	-	-	4.01	0.00	0.32	0.04	0.00	0.01	0.02	0.01	0.00	-	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-
RB	0.12	-	0.67	0.08	1.02	0.08	0.02	0.01	-	-	-	-	0.03	-	1.94	0.55	-	0.38	-	0.08	-	-	-	-	-	0.02	0.03	-	0.11	0.15	-	-	-	-
DT	0.00	-	0.01	1.45	-	-	1.16	-	-	-	-	-	0.00	-	-	0.75	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-
VBD	0.35	-	0.02	-	-	0.12	-	-	-	0.00	-	6.37	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
CD	0.03	0.01	0.01	-	-	-	-	-	-	-	0.00	0.00	2.96	-	-	-	-	-	-	1.53	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	0.03	0.01	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.53	-	0.15	-	-	0.29	-	-	-	-	-	-	0.01	-	-	-	2.82	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJR	0.08	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	1.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	0.12	-	0.04	-	-	-	-	-	-	-	-	-
RBR	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.45	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.02	0.00	-	-	-	-	-	0.01	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
FW	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-
MD	-	-	-	-	-	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.12	-	0.08	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
