------------------------------------------
Baseline:
Word Error Rate = 10.717687074829932
Known Word WER = 8.442957640976276
Unknown Word WER = 84.46316007026972
	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	NNS	PDT	IN	LS	VBN	RP	VBG	NNP	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	NNPS	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
	NNP	JJ	RB	VBN	VBD	VB	UH	WDT	RBS	NN	VBP	NNS	PDT	IN	LS	RP	NNPS	VBG	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
NN	1.35	3.58	0.25	0.25	0.04	7.47	0.11	-	0.00	-	1.70	0.34	0.12	0.02	0.01	0.04	0.03	4.46	0.12	-	-	0.01	0.00	0.04	-	0.01	0.00	0.17	0.00	0.00	0.03	-	-	0.00	-
VBN	0.01	0.17	-	-	2.92	0.34	-	-	-	0.81	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ	0.96	-	1.13	1.49	0.19	0.46	0.00	-	0.02	5.01	0.03	0.04	0.88	0.05	1.00	0.06	0.43	0.84	0.01	-	-	-	0.01	0.01	0.14	0.00	0.00	0.01	0.01	-	0.00	-	-	-	-
NNP	-	0.83	0.07	0.15	0.01	0.03	0.00	-	0.01	7.21	0.03	0.12	0.00	0.03	0.26	0.00	2.33	0.11	0.03	-	0.00	0.00	0.01	0.00	0.01	0.08	0.00	0.26	0.02	-	0.01	0.00	-	-	0.00
CD	3.38	0.01	-	0.00	-	-	-	-	-	0.02	-	0.05	0.00	-	1.55	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-
RB	0.02	0.62	-	0.00	0.00	0.07	0.55	0.02	0.00	0.15	0.00	-	0.08	1.09	0.10	1.83	-	0.00	-	0.16	-	-	0.01	-	0.38	0.02	0.05	-	0.03	-	-	-	-	-	-
IN	0.02	0.16	1.89	0.00	-	-	-	5.00	0.00	0.01	0.00	-	-	-	-	3.28	0.00	0.00	-	-	-	-	0.00	-	-	0.02	0.01	0.15	-	-	-	-	-	0.00	-
DT	0.00	0.01	-	-	-	-	0.70	1.10	-	0.00	-	-	1.36	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.08	0.00	-	-	-	-	-	-	-
JJS	0.00	0.00	-	-	-	-	-	-	0.57	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NNS	0.16	0.01	-	0.02	-	-	-	-	-	2.24	-	-	-	-	-	-	1.10	0.00	0.05	-	0.00	1.32	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.01	-	-	-	-	-	-	-	-	0.43	0.00	0.83	-	-	-	-	0.04	-	-	-	1.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	0.05	-	0.03	0.00	2.27	-	-	-	0.41	-	-	-	0.02	-	0.00	0.00	-	0.00	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VB	0.04	0.24	0.00	0.17	0.03	-	0.00	-	0.00	1.79	3.64	0.00	-	0.05	-	0.01	-	0.00	-	-	-	-	-	-	0.00	0.00	-	-	0.03	-	-	-	-	-	-
RP	0.00	0.00	0.01	-	-	0.00	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.02	0.02	-	5.60	-	0.15	-	-	-	0.51	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.00	0.00	0.00	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.44	-	-	-	-	-	-	-	-	-	-
FW	0.00	-	0.00	0.00	-	-	-	-	-	0.08	-	0.00	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-
CC	0.00	-	0.05	-	-	-	-	-	-	0.00	-	0.00	0.02	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-
VBG	0.02	0.06	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-
