------------------------------------------
Baseline:
Word Error Rate = 10.08916038070557
Known Word WER = 8.503971721656708
Unknown Word WER = 86.62105663245913
	NNS	JJ	RB	NN	VB	UH	VBG	RP	PDT	WDT	NNP	VBD	IN	VBN	VBP	NNPS	VBZ	JJR	LS	MD	CD	RBR	POS	RBS	JJS	FW	EX	DT	CC	WP	PRP$	PRP	SYM	TO	$
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-
NN|JJ	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.03	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.960356024495965
Known Word WER = 8.503971721656708
Unknown Word WER = 80.27366020524515
	NNP	NNS	JJ	RB	VBN	VB	UH	VBG	RP	NNPS	NN	PDT	WDT	VBD	IN	VBP	VBZ	JJR	LS	MD	CD	RBR	POS	RBS	JJS	FW	EX	DT	CC	WP	PRP$	PRP	SYM	TO	$
NN	1.66	0.23	3.65	0.20	0.24	7.84	0.11	5.14	0.00	0.02	-	0.15	-	0.07	0.02	2.05	0.02	0.00	0.06	0.04	0.11	-	-	0.01	-	0.29	-	-	0.00	-	-	0.00	-	-	-
VBZ	0.03	0.90	-	-	-	-	-	-	-	0.02	0.30	-	-	-	-	-	-	-	-	-	-	-	1.24	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.04	-	0.12	-	-	0.20	-	-	-	-	0.43	-	-	2.97	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.76	0.05	-	1.13	1.64	0.52	-	0.89	0.06	0.34	3.99	0.87	-	0.20	0.06	0.02	-	0.02	1.22	-	0.00	0.19	-	0.01	0.02	0.00	-	0.00	-	-	-	-	-	0.00	-
NNP	-	0.18	1.51	0.08	0.19	0.03	0.01	0.10	0.01	2.29	5.38	0.00	-	-	0.03	0.00	-	0.01	0.36	0.01	0.01	-	-	0.00	0.03	0.14	-	0.06	-	-	-	0.00	-	-	0.01
CD	2.88	0.06	0.02	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	1.92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.01	-	0.67	-	-	0.10	0.65	-	2.11	-	0.15	0.15	0.02	0.00	1.13	-	-	0.00	0.12	-	0.00	0.37	-	-	0.02	0.00	0.15	0.02	0.03	-	-	-	-	-	-
IN	0.00	-	0.13	2.01	-	-	-	-	3.46	-	0.01	-	5.14	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	0.00	-	-	-	-	-	-	-
VBP	0.00	-	0.06	-	0.07	2.45	-	-	0.00	-	0.47	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	-	0.03	-	-	-	0.72	-	-	-	-	1.53	1.38	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	0.09	-	-	0.00	-	-	-
NNS	0.12	-	0.03	-	0.01	-	-	-	-	1.48	1.53	-	-	-	-	-	1.39	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.04	-	0.03	-	6.00	0.11	-	-	-	-	0.27	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.05	0.00	0.15	0.01	0.37	-	0.00	-	0.04	-	1.54	-	-	0.03	0.06	3.49	-	0.01	-	-	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.02	-	0.03	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	-	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	1.30	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.04	-	-	-	-	-	-	-	0.03	-	-	0.00	-	-	-	-	-	-	0.03	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJS	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	0.48	-	-	-	-	-	-	-	-	-	-	-
FW	0.00	-	-	-	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.02	-	-	-	-	-
MD	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-
NN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.06	0.06	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.03	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.4441359310163975
Known Word WER = 3.6363493225636305
Unknown Word WER = 43.443557582668184
	JJ	NNS	VBP	UH	VBG	NN	RP	RB	WDT	NNP	IN	VB	NNPS	PDT	FW	JJR	VBZ	VBD	CD	DT	VBN	RBR	JJS	RBS	WP	CC	POS	PRP$	SYM	LS	PRP	EX	TO	MD
NN	6.73	0.46	0.22	0.01	1.50	-	-	0.12	-	5.84	0.01	0.46	0.01	-	0.05	-	0.05	0.05	0.31	-	0.19	-	-	-	-	-	-	-	-	-	0.06	-	-	0.01
VBZ	0.22	1.31	0.01	-	0.01	0.12	-	0.01	-	0.36	-	0.05	-	-	-	-	-	0.13	0.05	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-
VBN	3.00	0.01	-	-	0.10	0.34	-	0.01	-	0.32	-	0.13	-	-	0.01	-	-	3.29	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.20	-	1.61	-	-	0.91	-	0.10	-	0.31	0.05	-	-	-	-	-	0.05	0.17	0.13	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.33	-	0.03	0.06	0.01	0.76	1.52	-	-	0.43	3.26	0.15	-	0.03	0.03	0.01	-	0.01	0.03	0.13	0.15	0.41	0.01	-	-	0.05	-	-	-	0.01	-	0.06	-	-
NNP	3.03	0.39	0.01	0.03	0.06	2.20	-	0.19	-	-	0.01	0.10	2.06	-	0.55	-	0.03	-	0.34	0.13	0.13	-	0.03	-	-	-	-	-	-	-	-	-	-	-
DT	0.06	-	-	-	-	0.08	-	0.27	0.67	0.03	0.71	-	-	0.31	0.01	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	0.01	-	-	-
RP	-	-	-	-	-	-	-	0.62	-	-	0.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.12	-	-	-	0.01	0.76	-	0.01	-	0.13	-	2.41	-	-	-	-	-	0.20	0.01	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.78	-	0.03	-	0.01	2.39	-	0.12	-	1.94	-	0.01	0.69	-	0.05	-	0.76	-	0.20	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.13	-	-	-	0.01	0.01	2.53	2.86	0.20	0.10	-	-	-	-	0.10	-	-	-	-	0.52	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	-	-	0.13	-	-	0.01	-	-	0.01	0.01	0.01	-	-	-	0.10	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	0.05	0.05	-	0.52	2.82	0.06	1.21	-	3.24	0.20	0.13	-	0.08	0.06	-	0.01	0.17	0.57	0.01	1.96	0.03	0.03	-	-	-	-	-	-	0.01	-	-	0.01	-
VBG	1.50	-	0.08	-	-	2.06	-	-	-	0.36	-	0.06	-	-	0.01	-	0.01	-	0.05	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	0.01	-	-	-	-	0.24	-	-	-	-	-	-	-	1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.47	0.26	0.05	-	0.03	0.57	-	-	-	0.95	-	0.10	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	0.03	0.03	-	-	-
VBD	0.19	0.01	0.06	-	0.01	0.19	-	-	-	0.32	-	0.10	-	-	0.01	-	0.01	-	-	-	4.04	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	0.48	-	-	-	-	-	-	-	-	0.05	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-
JJR	0.06	-	-	-	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	0.72	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.03	0.46	-	-	-	0.22	-	-	-	1.26	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.01	-	-	0.01	-	-	-	0.12	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.13	0.01	-	-	-	0.03	-	-	-	0.05	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
MD	-	-	0.01	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-
PRP	-	-	-	-	-	0.05	-	-	-	0.03	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
UH	-	-	-	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.466503154549802
Known Word WER = 3.658392574573109
Unknown Word WER = 43.48156594450779
	JJ	NNS	VBP	UH	VBG	NN	RP	RB	WDT	NNP	IN	VB	NNPS	PDT	FW	JJR	VBZ	VBD	CD	DT	VBN	RBR	JJS	RBS	WP	CC	POS	PRP$	SYM	LS	PRP	EX	TO	MD
NN	6.70	0.46	0.22	0.01	1.50	-	-	0.12	-	5.81	0.01	0.46	0.01	-	0.05	-	0.05	0.05	0.31	-	0.18	-	-	-	-	-	-	-	-	-	0.06	-	-	0.01
VBZ	0.22	1.31	0.01	-	0.01	0.12	-	0.01	-	0.36	-	0.05	-	-	-	-	-	0.13	0.05	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-
VBN	2.98	0.01	-	-	0.10	0.34	-	0.01	-	0.32	-	0.13	-	-	0.01	-	-	3.28	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.20	-	1.60	-	-	0.91	-	0.10	-	0.31	0.05	-	-	-	-	-	0.05	0.17	0.13	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.32	-	0.03	0.06	0.01	0.75	1.51	-	-	0.43	3.24	0.15	-	0.03	0.03	0.01	-	0.01	0.03	0.13	0.15	0.41	0.01	-	-	0.05	-	-	-	0.01	-	0.06	-	-
NNP	3.02	0.39	0.01	0.03	0.06	2.19	-	0.18	-	-	0.01	0.10	2.05	-	0.55	-	0.03	-	0.34	0.13	0.13	-	0.03	-	-	-	-	-	-	-	-	-	-	-
DT	0.06	-	-	-	-	0.08	-	0.27	0.67	0.03	0.70	-	-	0.31	0.01	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	0.01	-	-	-
RP	-	-	-	-	-	-	-	0.62	-	-	0.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.12	-	-	-	0.01	0.75	-	0.01	-	0.13	-	2.40	-	-	-	-	-	0.20	0.01	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.77	-	0.03	-	0.01	2.38	-	0.12	-	1.93	-	0.01	0.69	-	0.05	-	0.75	-	0.20	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.13	-	-	-	0.01	0.01	2.52	2.84	0.20	0.10	-	-	-	-	0.10	-	-	-	-	0.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	-	-	0.13	-	-	0.01	-	-	0.01	0.01	0.01	-	-	-	0.10	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	0.05	0.05	-	0.51	2.81	0.06	1.20	-	3.22	0.20	0.13	-	0.08	0.06	-	0.01	0.17	0.56	0.01	1.95	0.03	0.03	-	-	-	-	-	-	0.01	-	-	0.01	-
VBG	1.50	-	0.08	-	-	2.05	-	-	-	0.36	-	0.06	-	-	0.01	-	0.01	-	0.05	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	0.01	-	-	-	-	0.24	-	-	-	-	-	-	-	1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.46	0.25	0.05	-	0.03	0.56	-	-	-	0.96	-	0.10	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	0.03	0.03	-	-	-
VBD	0.18	0.01	0.06	-	0.01	0.18	-	-	-	0.32	-	0.10	-	-	0.01	-	0.01	-	-	-	4.02	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	0.48	-	-	-	-	-	-	-	-	0.05	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-
JJR	0.06	-	-	-	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	0.72	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.03	0.46	-	-	-	0.22	-	-	-	1.26	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.01	-	-	0.01	-	-	-	0.12	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.13	0.01	-	-	-	0.03	-	-	-	0.05	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
MD	-	-	0.01	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
