------------------------------------------
Baseline:
Word Error Rate = 10.018862165313964
Known Word WER = 8.351068085446837
Unknown Word WER = 85.03058654192155
	JJ	WDT	RP	IN	RBS	NN	RB	NNPS	PDT	VB	UH	VBD	VBP	NNP	VBN	VBG	LS	POS	DT	RBR	JJS	NNS	JJR	VBZ	CD	EX	FW	CC	PRP$	PRP	NPS	MD	WP	SYM	$
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.846676423858684
Known Word WER = 8.351068085446837
Unknown Word WER = 77.11406980928392
	JJ	WDT	RP	IN	RBS	NN	RB	NNPS	PDT	VB	UH	VBD	VBP	NNP	VBN	VBG	LS	POS	DT	RBR	JJS	NNS	JJR	VBZ	CD	EX	FW	CC	PRP$	PRP	NPS	MD	WP	SYM	$
NN	4.07	-	0.05	0.03	0.02	-	0.31	0.01	0.11	8.09	0.14	0.05	1.71	1.40	0.29	5.11	0.03	-	-	-	-	0.34	0.02	-	0.07	-	0.22	0.00	-	-	-	0.04	-	0.00	-
IN	0.21	4.98	3.40	-	-	-	2.05	-	-	-	-	-	-	-	-	0.00	-	-	0.03	-	-	-	-	-	-	-	0.08	0.03	-	-	-	-	-	-	-
RB	0.75	0.03	1.93	1.16	-	0.15	-	-	0.13	0.11	0.62	-	0.00	0.05	-	0.00	0.03	-	0.02	0.35	-	-	0.05	-	-	0.18	-	0.03	-	-	-	-	-	-	-
JJS	-	-	-	-	0.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.04	-	0.01	0.03	-	0.41	-	0.00	-	2.24	-	-	-	0.01	0.03	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	0.10	0.05	0.02	4.45	1.16	0.50	0.77	0.44	-	0.26	0.03	0.81	1.77	0.88	0.29	-	-	0.18	0.00	0.09	0.03	-	0.02	-	-	-	-	0.00	-	0.00	-	-	-
NNP	1.20	-	0.02	0.04	0.02	5.42	0.03	2.36	-	0.04	0.00	-	0.02	-	0.04	0.10	0.34	0.00	0.09	0.01	0.02	0.11	0.05	0.01	0.03	-	0.07	0.00	0.00	0.00	-	0.03	-	-	0.01
DT	0.01	1.23	-	-	-	-	-	-	1.49	-	0.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-
NNS	0.00	-	-	-	-	1.74	-	1.16	-	-	-	0.00	-	0.14	0.00	0.00	-	-	-	-	-	-	-	1.43	0.11	-	-	-	-	-	0.00	-	-	-	-
VBN	0.14	-	-	-	-	0.57	-	-	-	0.33	-	2.93	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.28	-	0.03	0.10	-	1.46	0.01	-	-	-	-	0.02	3.88	0.03	0.19	0.01	-	-	-	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	0.31	-	0.05	-	-	-	-	-	0.00	-	-	-	1.26	-	-	-	0.52	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.02	-	-	-	-	0.31	-	-	-	0.22	-	-	-	0.01	6.75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
CD	0.01	-	-	-	-	0.03	-	-	-	-	-	-	-	2.82	-	-	1.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	0.06	-	-	-	-	-	-	-	0.00	-	-	-	-	-	1.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	0.00	-	-	-	-	-	-	0.04	-	-	-	0.12	-	-	-	-	-	-
UH	-	-	-	-	-	0.05	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	0.20	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.04	-	-	-	-	0.15	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.00	-	-	0.05	-	0.01	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	0.00	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.541007599652498
Known Word WER = 3.650692055364429
Unknown Word WER = 44.584382871536526
	RP	JJ	IN	RBS	RB	NN	NNP	VBD	PDT	CD	VBN	NNS	DT	VBG	VB	FW	NNPS	JJS	JJR	VBP	VBZ	POS	EX	RBR	WDT	PRP$	PRP	NPS	CC	LS	MD	UH	WP
IN	2.18	0.24	-	-	2.99	-	0.03	-	-	-	-	-	0.58	-	0.01	-	-	-	-	0.01	-	-	-	-	0.17	-	-	-	0.05	-	-	-	-
NN	-	7.35	0.03	-	0.20	-	5.25	0.01	-	0.31	0.06	0.67	0.03	1.43	0.58	0.12	-	-	0.03	0.32	0.05	-	-	-	-	-	0.01	0.03	0.01	0.01	0.03	-	-
RB	1.79	1.51	3.17	-	-	0.67	0.56	0.03	0.06	0.03	0.10	0.01	0.18	0.03	0.08	-	-	-	0.08	0.01	-	-	0.10	0.41	-	-	-	-	0.06	-	-	0.03	-
JJS	-	0.15	-	0.12	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.03	0.75	-	0.32	0.05	-	-	0.41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.58	-	-	-	0.10	-	-	-	-
NNS	-	0.75	-	-	0.06	2.41	2.39	-	-	0.17	0.10	-	-	0.03	0.01	0.01	0.53	-	-	0.01	0.67	-	-	-	-	-	-	0.01	-	-	-	-	-
JJ	0.05	-	0.15	-	1.77	2.98	3.41	0.06	0.13	0.49	1.79	0.15	-	0.44	0.27	0.13	-	0.01	0.08	0.01	0.01	-	-	0.05	-	-	0.01	0.01	-	-	-	-	-
VBN	-	3.20	-	-	0.01	0.44	0.36	2.58	-	0.06	-	-	-	0.12	0.08	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
VB	-	0.34	0.01	-	0.05	0.81	0.20	0.20	-	0.12	0.10	-	-	0.06	-	-	-	-	0.03	1.79	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	0.12	-	-	-	0.10	0.37	0.24	-	0.03	0.05	0.81	-	0.05	0.05	0.03	-	-	-	0.05	-	0.29	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.55	-	-	-	0.39	1.05	-	-	-	0.05	0.22	-	0.06	0.03	0.01	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
VBD	-	0.13	-	-	-	0.36	0.22	-	-	-	4.11	0.01	-	0.03	0.18	0.01	-	-	-	0.10	0.03	-	-	-	-	-	-	0.01	-	-	-	-	-
VBG	-	1.32	-	-	0.01	1.98	0.39	0.08	-	0.12	0.22	-	-	-	0.17	0.01	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-
NNP	-	2.75	0.06	-	0.12	2.08	-	0.03	-	0.29	0.05	0.31	0.20	0.01	0.12	0.17	2.17	0.01	0.01	0.03	0.03	-	-	-	-	0.01	0.03	-	0.01	0.01	-	-	-
RBR	-	-	-	-	0.32	-	0.03	-	-	-	-	-	-	-	-	-	-	-	1.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.12	0.01	-	0.05	0.81	0.22	0.17	-	0.03	0.08	-	-	-	2.03	-	0.01	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	0.01	-	-	-	0.05	0.06	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	0.13	-	-	-	-	-	-	-
NNPS	-	0.13	-	-	-	0.15	1.63	-	-	-	0.01	0.55	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
RP	-	-	0.62	-	0.27	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	0.01	0.01	0.10	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	0.06	0.03	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.13	-	-	0.03	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63	-	-	-	-	-	-	-	-	-
WDT	-	0.01	0.31	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	0.01	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.03	-	0.12	-	-	-	0.01	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	0.01	0.03	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.555095523953385
Known Word WER = 3.6642931434514763
Unknown Word WER = 44.620367038503055
	RP	JJ	IN	RBS	RB	NN	NNP	VBD	PDT	CD	VBN	NNS	DT	VBG	VB	FW	NNPS	JJS	JJR	VBP	VBZ	POS	EX	RBR	WDT	PRP$	PRP	NPS	CC	LS	MD	UH	WP
IN	2.18	0.24	-	-	2.98	-	0.03	-	-	-	-	-	0.58	-	0.01	-	-	-	-	0.01	-	-	-	-	0.17	-	-	-	0.05	-	-	-	-
NN	-	7.33	0.03	-	0.20	-	5.24	0.01	-	0.30	0.06	0.67	0.03	1.42	0.58	0.12	-	-	0.03	0.32	0.05	-	-	-	-	-	0.01	0.03	0.01	0.01	0.03	-	-
RB	1.78	1.51	3.16	-	-	0.67	0.56	0.03	0.06	0.03	0.10	0.01	0.18	0.03	0.08	-	-	-	0.08	0.01	-	-	0.10	0.41	-	-	-	-	0.06	-	-	0.03	-
JJS	-	0.15	-	0.12	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.03	0.75	-	0.32	0.05	-	-	0.41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.58	-	-	-	0.10	-	-	-	-
NNS	-	0.75	-	-	0.06	2.40	2.38	-	-	0.17	0.10	-	-	0.03	0.01	0.01	0.53	-	-	0.01	0.67	-	-	-	-	-	-	0.01	-	-	-	-	-
JJ	0.05	-	0.15	-	1.76	2.97	3.40	0.06	0.13	0.49	1.78	0.15	-	0.44	0.27	0.13	-	0.01	0.08	0.01	0.01	-	-	0.05	-	-	0.01	0.01	-	-	-	-	-
VBN	-	3.19	-	-	0.01	0.44	0.36	2.57	-	0.06	-	-	-	0.12	0.08	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
VB	-	0.34	0.01	-	0.05	0.80	0.20	0.20	-	0.12	0.10	-	-	0.06	-	-	-	-	0.03	1.78	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	0.12	-	-	-	0.10	0.37	0.24	-	0.03	0.05	0.80	-	0.05	0.05	0.03	-	-	-	0.05	-	0.29	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.54	-	-	-	0.39	1.06	-	-	-	0.05	0.22	-	0.06	0.03	0.01	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
VBD	-	0.13	-	-	-	0.36	0.22	-	-	-	4.10	0.01	-	0.03	0.18	0.01	-	-	-	0.10	0.03	-	-	-	-	-	-	0.01	-	-	-	-	-
VBG	-	1.32	-	-	0.01	1.97	0.39	0.08	-	0.12	0.22	-	-	-	0.17	0.01	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-
NNP	-	2.74	0.06	-	0.12	2.07	-	0.03	-	0.29	0.05	0.30	0.20	0.01	0.12	0.17	2.16	0.01	0.01	0.03	0.03	-	-	-	-	0.01	0.03	-	0.01	0.01	-	-	-
RBR	-	-	-	-	0.32	-	0.03	-	-	-	-	-	-	-	-	-	-	-	1.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.12	0.01	-	0.05	0.80	0.22	0.17	-	0.03	0.08	-	-	-	2.02	-	0.01	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	0.01	-	-	-	0.05	0.06	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	0.13	-	-	-	-	-	-	-
NNPS	-	0.13	-	-	-	0.15	1.63	-	-	-	0.01	0.54	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
RP	-	-	0.61	-	0.27	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	0.01	0.01	0.10	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	0.06	0.03	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.13	-	-	0.03	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63	-	-	-	-	-	-	-	-	-
WDT	-	0.01	0.30	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	0.01	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	0.01	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.03	-	0.12	-	-	-	0.01	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
