------------------------------------------
Baseline:
Word Error Rate = 10.73813974479701
Known Word WER = 8.494625386199795
Unknown Word WER = 84.45513667847511
	NN	WDT	JJ	RBS	VBD	VB	VBP	RBR	VBZ	POS	RB	NNP	PDT	NNPS	IN	UH	VBG	RP	NNS	VBN	EX	CD	LS	JJS	PRP	DT	FW	PRP$	JJR	CC	MD	WP	TO	$	SYM
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.533252752778544
Known Word WER = 8.494625386199795
Unknown Word WER = 77.51810923703273
	WDT	JJ	RBS	NN	VBD	VB	VBP	RBR	VBZ	POS	RB	VBG	NNP	PDT	NNPS	IN	UH	RP	NNS	VBN	EX	CD	LS	JJS	PRP	DT	FW	PRP$	JJR	CC	MD	WP	TO	$	SYM
DT	1.11	0.01	-	0.00	-	-	-	-	-	-	-	-	0.00	1.43	-	-	0.64	-	-	-	-	-	-	-	0.00	-	-	-	-	0.07	-	-	-	-	-
RB	0.02	0.70	-	0.14	0.00	0.07	0.00	0.40	-	-	-	-	0.03	0.10	0.00	1.10	0.61	1.76	-	0.00	0.15	-	0.01	0.01	-	0.02	0.00	-	0.02	0.05	-	-	-	-	-
JJS	-	0.01	0.58	0.00	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	0.42	-	-	0.00	-	-	1.22	-	-	0.01	-	0.04	-	-	-	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	0.14	-	0.78	2.68	0.24	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.00	0.05	-	0.40	0.00	2.25	-	-	0.00	-	0.00	-	0.00	-	0.00	0.02	-	0.00	-	0.06	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	-	0.17	0.00	1.84	0.03	-	3.77	0.00	-	-	0.00	0.00	0.05	-	-	0.05	-	0.01	0.00	0.31	-	0.00	-	-	-	0.00	-	-	0.02	-	0.00	-	-	-	-
JJR	-	-	-	0.08	-	-	-	1.46	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.01	-	2.28	0.00	-	-	-	1.36	0.00	-	0.00	0.16	-	1.22	-	-	-	-	0.02	-	0.09	-	-	-	-	0.00	-	-	-	-	-	-	-	-
IN	4.94	0.17	-	0.02	-	0.00	-	-	-	-	1.86	0.00	0.01	-	-	-	-	3.25	-	-	-	-	-	0.00	-	0.03	0.12	-	-	0.02	-	-	0.00	-	0.00
JJ	-	-	0.02	5.29	0.17	0.53	0.04	0.14	-	-	1.20	0.85	0.67	0.85	0.45	0.04	0.00	0.08	0.04	1.56	-	0.00	0.03	0.00	0.00	0.00	0.01	-	0.01	0.00	-	-	-	-	-
NN	0.00	3.55	0.01	-	0.04	7.07	2.13	-	0.00	-	0.25	5.08	1.38	0.12	0.02	0.03	0.14	0.03	0.33	0.26	-	0.14	0.02	0.00	0.01	0.00	0.24	-	0.01	0.00	0.03	-	0.00	-	0.00
NNP	-	1.27	0.01	6.75	0.00	0.04	0.01	0.01	0.00	0.00	0.09	0.12	-	0.00	2.31	0.03	0.00	0.02	0.13	0.17	-	0.04	0.38	0.02	0.00	0.09	0.23	0.00	0.01	0.00	0.01	-	-	0.01	-
RP	-	0.00	-	-	-	0.00	-	-	-	-	0.01	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.02	-	0.44	-	0.16	0.00	-	-	-	-	-	0.02	-	-	-	-	-	-	5.89	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
