------------------------------------------
Baseline:
Word Error Rate = 9.876232335256233
Known Word WER = 8.18385387814336
Unknown Word WER = 85.06065857885615
	VB	LS	VBN	NNPS	WDT	RB	NN	RBS	NNS	JJ	VBG	IN	POS	PDT	VBP	VBZ	RP	RBR	NNP	UH	VBD	FW	DT	EX	CC	JJS	WP	PRP$	TO	CD	JJR	PRP	SYM	MD	NPS
PRP	-	-	0.03	-	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.13	-	-	-	-	-	-
WDT	0.01	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	0.01	-	-	-	0.08	-	0.11	-	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-
''	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.495162225681408
Known Word WER = 3.6062324935435797
Unknown Word WER = 43.98613518197574
	VBD	IN	CD	VB	WDT	NN	VBN	NNP	RB	VBZ	VBP	NNS	JJ	PDT	NNPS	DT	VBG	CC	''	RP	RBR	LS	PRP	RBS	FW	JJR	POS	WP	PRP$	TO	JJS	NPS	UH	EX	MD
VBP	0.16	0.01	0.01	1.81	-	0.69	0.06	0.16	0.01	-	-	-	0.06	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	2.78	0.01	0.13	-	0.50	0.11	0.47	-	0.03	0.03	0.01	1.52	0.01	-	0.15	0.01	0.03	-	1.78	0.50	-	-	-	-	0.05	-	-	-	-	-	-	0.05	0.10	-
VBN	3.00	-	0.13	0.20	-	0.33	-	0.23	0.03	0.01	0.03	0.03	2.73	-	-	-	0.11	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
NN	0.10	0.03	0.27	0.47	-	-	0.11	5.65	0.10	-	0.13	0.79	6.89	0.05	0.01	0.01	1.39	0.01	-	0.01	-	-	0.08	-	0.10	-	-	-	-	0.01	-	-	-	-	0.03
DT	-	0.78	-	-	0.52	0.06	-	0.03	0.44	-	-	-	0.05	0.32	-	-	-	0.16	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.15	0.03	0.11	-	-	0.93	0.06	0.25	0.05	0.01	1.86	-	0.22	-	-	-	0.08	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
VBD	-	-	0.01	0.16	-	0.27	3.78	0.25	-	0.05	0.15	-	0.28	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	0.05	-	0.42	0.05	0.93	-	-	0.01	0.20	1.27	-	-	-	0.03	-	-	-	-	0.06	0.13	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.23	0.22	0.47	0.16	-	3.00	1.86	3.68	1.29	0.01	0.03	0.08	-	0.27	-	-	0.42	-	-	0.03	0.03	0.01	-	-	0.11	-	-	-	-	-	-	-	0.01	-	-
IN	0.01	-	-	-	0.39	0.03	-	0.01	3.49	-	0.01	-	0.32	-	-	0.76	0.01	0.01	-	2.30	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	0.03	-	0.10	0.01	-	-	-	0.15	-	-	-	-	-	-	-	0.88	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.03	-	0.06	0.10	-	2.13	0.20	0.59	-	0.01	0.06	-	1.27	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-
VBZ	0.05	-	0.01	0.03	-	0.06	0.01	0.32	-	-	0.01	1.23	0.13	-	-	-	0.06	-	-	-	-	-	-	-	0.01	-	0.15	-	-	-	-	-	-	-	-
