------------------------------------------
Baseline:
Word Error Rate = 9.99253828934514
Known Word WER = 8.294651708023224
Unknown Word WER = 84.64199239017641
	NNS	JJ	RB	NN	VB	UH	VBD	POS	VBZ	PDT	IN	VBP	NNPS	VBN	RBR	LS	WDT	NNP	RP	VBG	CD	EX	CC	RBS	JJR	JJS	FW	MD	PRP	DT	WP	PRP$	SYM
PRP	0.00	-	-	-	-	-	-	-	0.00	0.01	0.00	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.10	-
JJS	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.50	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-
UH	-	-	0.00	0.00	-	-	-	-	-	0.03	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.03	-	-
NNPS	0.08	0.04	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.01	-	-	-	-	-	-	-	-	0.08	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.5708747124933655
Known Word WER = 3.661904237408148
Unknown Word WER = 44.53476305776548
	JJ	NNS	VBP	UH	NNP	NN	VBN	IN	VB	NNPS	RBS	DT	PDT	RB	VBG	VBZ	VBD	RP	JJR	CD	POS	WDT	RBR	''	CC	PRP	FW	WP	JJS	PRP$	MD	EX	LS	SYM
NN	6.77	0.78	0.18	0.04	6.06	-	0.15	0.01	0.55	-	-	0.00	0.00	0.14	1.39	0.03	0.09	-	-	0.41	-	-	-	-	0.00	0.00	0.05	-	-	-	0.02	-	-	0.00
VBZ	0.14	1.11	0.05	-	0.22	0.15	0.02	-	0.05	0.00	-	-	-	-	0.05	-	0.19	-	-	0.02	0.23	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBN	2.94	-	0.00	0.01	0.47	0.44	-	-	0.11	-	-	-	-	0.01	0.09	-	3.57	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.24	-	1.78	0.03	0.31	0.89	0.10	0.02	-	-	-	-	-	0.05	0.04	0.00	0.11	-	0.03	0.20	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RB	1.68	0.02	0.03	0.03	0.48	0.65	0.16	3.04	0.06	-	-	0.17	0.04	-	0.01	0.01	-	1.71	0.07	0.05	-	-	0.49	-	0.06	-	-	-	0.00	-	-	0.06	-	-
WDT	0.01	-	-	-	0.00	-	-	0.47	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-
NNS	0.82	-	-	-	2.17	2.49	0.12	-	0.03	0.59	-	-	-	0.02	0.00	0.67	0.02	-	-	0.15	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
VBD	0.24	0.00	0.10	-	0.22	0.20	3.84	0.00	0.11	-	-	-	-	-	0.04	0.02	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	0.00	-	-	0.68	-	-	-	-	-	0.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.13	0.01	-	-	0.03	0.76	0.05	0.02	2.21	-	-	-	-	0.01	0.00	-	0.21	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	2.84	0.32	0.03	0.08	-	2.01	0.10	0.02	0.08	2.14	-	0.14	-	0.05	0.04	0.03	0.00	-	-	0.31	0.05	-	-	-	0.00	-	0.28	-	-	0.01	-	-	0.00	-
JJS	0.09	0.00	-	-	0.00	0.03	-	-	-	-	0.20	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.49	0.00	0.05	0.00	0.37	2.02	0.15	-	0.09	-	-	-	-	0.00	-	-	0.08	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.67	0.26	0.00	-	0.78	0.47	0.06	-	0.08	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	0.00	-
