------------------------------------------
Baseline:
Word Error Rate = 9.986498511767774
Known Word WER = 8.431423223613624
Unknown Word WER = 84.43944506936633
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	WDT	VB	RBS	NNS	IN	VBN	VBD	CC	VBG	RP	UH	FW	LS	VBZ	JJR	EX	CD	DT	WP	PRP	JJS	PRP$	MD	SYM
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.853017889471907
Known Word WER = 8.431423223613624
Unknown Word WER = 77.91526059242595
	POS	VBP	RB	NN	JJ	VBG	NNP	PDT	RBR	NNPS	WDT	VB	RBS	NNS	IN	VBN	VBD	CC	RP	UH	FW	LS	VBZ	JJR	EX	CD	DT	WP	PRP	JJS	PRP$	MD	SYM
VBZ	0.93	-	-	0.35	-	-	0.00	-	-	0.03	-	-	-	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	3.62	-	1.47	0.28	0.00	0.05	-	-	-	-	-	0.00	-	0.06	0.35	0.01	-	0.03	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-
JJ	-	0.05	1.32	4.11	-	0.87	0.60	1.23	0.18	0.54	-	0.46	0.03	0.04	0.05	1.61	0.19	0.00	0.05	0.01	0.02	1.22	-	0.03	-	0.00	-	-	-	-	0.00	-	-
VBN	-	-	-	0.60	0.15	-	0.00	-	-	-	-	0.31	-	-	-	-	2.95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	1.55	0.32	-	3.55	5.61	1.64	0.14	-	0.01	-	8.17	0.00	0.40	0.03	0.31	0.07	-	0.01	0.12	0.38	0.07	-	0.01	-	0.10	-	-	0.00	0.00	-	0.01	-
NNP	-	0.01	0.08	5.27	1.19	0.06	-	0.01	0.00	2.30	-	0.04	0.01	0.09	0.02	0.10	-	-	0.00	-	0.35	0.42	0.00	0.03	-	0.05	0.03	-	0.02	0.07	-	-	-
NNS	-	-	-	1.54	0.00	-	0.14	-	-	1.25	-	-	-	-	-	0.01	-	-	-	-	-	-	1.28	-	-	0.09	-	-	-	-	-	-	-
IN	-	-	2.00	0.02	0.15	-	-	-	-	-	5.20	-	-	-	-	-	-	0.00	3.50	-	0.13	-	-	-	-	-	0.01	-	-	-	-	-	-
DT	-	-	-	-	0.02	-	-	1.55	-	-	1.09	-	-	-	-	-	-	0.08	-	0.80	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.01	0.00	-	-	-	0.00	-	-	-	0.49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	-	-	0.22	0.01	-	0.00	-	-	-	-	0.17	-	-	-	6.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
VBP	-	-	-	0.36	0.03	-	0.03	-	-	0.00	-	2.39	-	-	0.01	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	-	-	0.08	0.62	-	0.04	0.13	0.32	-	0.01	0.04	-	-	1.14	-	-	0.06	1.87	0.78	-	0.09	-	0.03	0.11	-	0.03	-	-	0.00	-	-	-
CD	-	-	-	0.03	0.03	-	2.77	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	1.80	-	-	-	-	-	-	-	-	-	-	-
''	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-
JJR	-	-	0.00	0.04	0.00	-	-	-	1.43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	0.10	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0.06	-	-	-	-	-
VBG	-	-	-	0.14	0.06	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	0.00	-	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.02	-	-	-	-	0.04	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.07	-	-	0.00	-	-	0.01	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	0.00	-	0.07	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.336585964589278
Known Word WER = 3.511657229675227
Unknown Word WER = 43.832020997375324
	RB	JJ	NNP	NNPS	NN	WDT	NNS	IN	VB	VBP	VBN	VBZ	RP	JJR	VBG	VBD	CD	POS	DT	RBS	PDT	RBR	FW	WP	CC	PRP	PRP$	MD	JJS	NPS	EX	SYM	LS	UH
JJ	1.60	-	3.07	-	3.13	-	0.10	0.19	0.24	0.07	2.24	-	0.05	0.01	0.47	0.15	0.60	-	0.01	-	0.19	0.01	0.10	-	0.01	-	0.01	-	-	0.01	-	-	0.01	-
NN	0.14	7.11	6.38	-	-	-	0.91	0.03	0.58	0.15	0.15	-	-	0.01	1.55	0.07	0.24	-	0.01	-	0.03	-	0.14	-	-	0.05	-	0.01	-	-	-	-	-	-
NNP	0.08	2.29	-	2.31	1.60	-	0.33	0.01	0.08	-	0.10	0.01	0.01	0.01	0.03	-	0.31	-	0.08	0.01	-	-	0.60	-	-	0.01	-	-	-	-	-	-	-	-
NNS	0.05	0.70	1.94	0.58	2.22	-	-	-	0.07	0.01	0.15	0.72	-	-	0.01	0.01	0.24	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
IN	3.16	0.17	0.07	-	0.01	0.30	-	-	-	0.01	-	-	2.17	-	0.03	-	-	-	0.53	-	-	-	0.05	-	0.01	-	-	-	-	-	-	-	-	-
DT	0.40	0.07	-	-	0.12	0.51	-	0.68	-	-	-	-	-	-	-	-	-	-	-	-	0.37	-	-	-	0.07	-	-	-	-	-	-	-	-	-
VBG	0.01	1.53	0.37	-	2.22	-	-	-	0.07	-	0.10	0.01	-	-	-	0.03	0.14	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.71	0.90	-	0.47	-	0.28	-	0.08	0.03	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-
VBZ	-	0.07	0.24	0.01	0.12	-	1.14	-	0.05	0.07	-	-	-	-	0.15	0.30	0.03	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	0.40	-	0.01	-	-	-	-	0.54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	2.65	0.56	-	0.42	-	0.03	-	0.14	0.05	-	0.01	-	-	0.14	3.02	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.03	0.22	-	0.83	-	0.01	-	1.98	-	0.08	0.01	-	-	-	0.12	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.01	0.24	0.38	-	0.95	-	-	-	-	1.76	0.21	-	-	0.01	0.03	0.07	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.26	0.22	-	0.14	-	-	-	0.15	0.07	4.12	0.01	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
RBR	0.17	0.01	-	-	-	-	-	0.01	-	-	-	-	-	1.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	1.37	0.42	-	0.51	-	0.03	3.13	0.08	0.01	0.05	-	1.89	0.03	-	-	0.01	-	0.30	-	-	0.33	0.01	-	0.05	-	-	-	0.01	-	0.01	-	-	0.01
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	0.01	-	-	-	-	0.44	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-
CC	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	0.07	0.03	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	0.12	0.01	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	0.01	-	-	-	-	-	-	-	-	0.05	-	-	-	-	0.03	0.01	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-
JJR	0.03	0.14	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.67	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	0.07	1.29	-	0.15	-	0.37	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.05	-	0.01	-	0.07	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.12	-	0.01	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-
``	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.346558654760809
Known Word WER = 3.521838216291145
Unknown Word WER = 43.832020997375324
	RB	JJ	NNP	NNPS	NN	WDT	NNS	IN	VB	VBP	VBN	VBZ	RP	JJR	VBG	VBD	CD	POS	DT	RBS	PDT	RBR	FW	WP	CC	PRP	PRP$	MD	JJS	NPS	EX	SYM	LS	UH
JJ	1.60	-	3.07	-	3.12	-	0.10	0.19	0.24	0.07	2.24	-	0.05	0.01	0.47	0.15	0.60	-	0.01	-	0.19	0.01	0.10	-	0.01	-	0.01	-	-	0.01	-	-	0.01	-
NN	0.14	7.09	6.37	-	-	-	0.91	0.03	0.58	0.15	0.15	-	-	0.01	1.55	0.07	0.24	-	0.01	-	0.03	-	0.14	-	-	0.05	-	0.01	-	-	-	-	-	-
NNP	0.08	2.29	-	2.31	1.60	-	0.33	0.01	0.08	-	0.10	0.01	0.01	0.01	0.03	-	0.31	-	0.08	0.01	-	-	0.60	-	-	0.01	-	-	-	-	-	-	-	-
NNS	0.05	0.70	1.94	0.58	2.22	-	-	-	0.07	0.01	0.15	0.72	-	-	0.01	0.01	0.24	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
IN	3.15	0.17	0.07	-	0.01	0.30	-	-	-	0.01	-	-	2.17	-	0.03	-	-	-	0.52	-	-	-	0.05	-	0.01	-	-	-	-	-	-	-	-	-
DT	0.40	0.07	-	-	0.12	0.51	-	0.68	-	-	-	-	-	-	-	-	-	-	-	-	0.37	-	-	-	0.07	-	-	-	-	-	-	-	-	-
VBG	0.01	1.53	0.37	-	2.22	-	-	-	0.07	-	0.10	0.01	-	-	-	0.03	0.14	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.71	0.90	-	0.47	-	0.28	-	0.08	0.03	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-
VBZ	-	0.07	0.24	0.01	0.12	-	1.14	-	0.05	0.07	-	-	-	-	0.15	0.30	0.03	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	0.40	-	0.01	-	-	-	-	0.54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	2.64	0.56	-	0.42	-	0.03	-	0.14	0.05	-	0.01	-	-	0.14	3.01	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.03	0.22	-	0.82	-	0.01	-	1.97	-	0.08	0.01	-	-	-	0.12	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.01	0.24	0.38	-	0.95	-	-	-	-	1.76	0.21	-	-	0.01	0.03	0.07	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.26	0.22	-	0.14	-	-	-	0.15	0.07	4.11	0.01	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
RBR	0.17	0.01	-	-	-	-	-	0.01	-	-	-	-	-	1.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	1.37	0.42	-	0.51	-	0.03	3.12	0.08	0.01	0.05	-	1.88	0.03	-	-	0.01	-	0.30	-	-	0.33	0.01	-	0.05	-	-	-	0.01	-	0.01	-	-	0.01
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	0.01	-	-	-	-	0.44	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-
CC	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	0.07	0.03	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	0.12	0.01	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	0.01	-	-	-	-	-	-	-	-	0.05	-	-	-	-	0.03	0.01	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-
JJR	0.03	0.14	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.67	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	0.07	1.28	-	0.15	-	0.37	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.05	-	0.01	-	0.07	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.12	-	0.01	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
