------------------------------------------
Baseline:
Word Error Rate = 9.96806066899525
Known Word WER = 8.415785923094221
Unknown Word WER = 84.3076923076923
	RBR	VBZ	POS	WDT	VBD	NN	NNS	VBN	RB	RP	JJ	VBP	NNPS	VB	VBG	NNP	PDT	UH	DT	RBS	LS	CD	IN	CC	EX	JJR	SYM	MD	FW	PRP$	PRP	JJS	WP	$
JJ	0.13	-	-	-	0.15	4.34	0.06	1.60	1.21	0.05	-	0.03	0.50	0.54	0.92	0.73	1.08	0.00	-	0.03	0.91	0.01	0.03	0.00	-	0.01	-	-	-	-	0.00	0.00	-	-
NNP	0.02	0.00	-	-	-	4.46	0.10	0.04	0.07	0.00	1.28	0.03	2.25	0.01	0.14	-	-	-	0.11	0.02	0.39	0.03	0.01	-	-	0.01	-	0.00	0.05	0.00	0.01	0.01	-	0.01
VBD	0.01	-	-	-	-	0.27	-	5.79	-	-	0.02	-	-	0.16	-	0.05	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
NN	-	0.00	-	-	0.05	-	0.42	0.35	0.25	0.02	3.49	1.73	0.01	7.90	5.22	1.63	0.16	0.15	0.01	0.01	0.02	0.13	0.04	-	-	0.00	0.02	0.03	0.23	-	0.03	-	-	-
VB	-	-	-	-	0.00	1.66	-	0.33	-	0.00	0.26	4.00	-	-	-	0.04	-	-	-	0.00	-	-	0.03	-	-	0.02	-	-	-	-	-	-	-	-
DT	-	-	-	1.14	-	-	-	-	-	-	0.00	-	-	-	-	-	1.58	0.81	-	-	-	-	-	0.06	-	-	-	-	0.00	-	-	-	-	-
VBP	-	0.00	-	0.00	-	0.43	-	0.07	0.00	-	0.05	-	-	2.64	-	0.01	-	-	-	-	-	-	0.02	-	-	0.00	-	-	-	-	0.00	-	-	-
RB	0.41	-	-	0.03	-	0.15	0.00	0.00	-	2.11	0.51	0.00	0.00	0.07	0.00	0.01	0.08	0.58	0.01	-	0.11	-	0.98	0.05	0.15	0.02	-	-	-	-	-	0.01	-	-
JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.49	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	-	-	0.04	0.00	-	-	-	0.03	-	-	-	-	2.94	-	-	-	-	1.54	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	0.22	-	-	-	-	0.07	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-
CC	0.01	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	0.00	0.04	-	-	-	-	-	0.00	-	-	-	1.07	-	-	-	-	-	-	-
UH	-	-	-	-	-	0.07	-	0.00	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	0.00	0.10	0.00	-	-	0.00	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
