------------------------------------------
Baseline:
Word Error Rate = 9.839130604136642
Known Word WER = 8.275944333996025
Unknown Word WER = 85.0095602294455
	NNPS	VB	VBG	NN	VBP	RBS	WDT	NNS	IN	VBN	RP	JJ	VBZ	POS	PDT	UH	VBD	LS	RB	NNP	JJR	FW	RBR	DT	EX	JJS	CD	WP	PRP$	NPS	CC	PRP	MD	TO
RBR	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.01	-	-	-	0.07	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.02	-	-	-	-	-	-
PRP	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	0.07	-	0.12	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.365676002025475
Known Word WER = 3.569781312127237
Unknown Word WER = 42.638623326959845
	NNPS	JJ	RB	NN	NNS	IN	VBN	DT	VBG	VB	CD	VBP	RP	VBD	NNP	VBZ	POS	WDT	RBS	PDT	JJR	EX	FW	RBR	CC	UH	PRP	JJS	NPS	WP	PRP$	''	LS	TO
NNP	2.05	2.96	0.05	2.08	0.33	0.03	0.03	0.12	0.07	0.08	0.28	0.03	-	-	-	0.03	0.01	-	-	-	-	-	0.55	-	0.03	0.03	-	0.01	0.01	-	-	-	0.01	-
NN	0.01	7.13	0.17	-	0.73	0.03	0.14	0.01	1.40	0.76	0.33	0.39	0.01	0.19	5.76	0.05	-	-	-	-	-	-	0.12	-	-	-	0.05	-	0.01	-	-	-	-	-
IN	-	0.24	2.92	-	-	-	-	0.46	0.03	0.01	-	0.01	2.26	-	0.05	0.01	-	0.19	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.01
VBG	-	1.21	-	1.67	-	-	0.24	-	-	0.05	0.05	0.08	-	0.08	0.37	0.03	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.33	-	0.42	0.24	-	0.12	-	0.01	0.10	-	0.01	-	-	0.92	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	0.05	-
VBZ	0.01	0.08	-	0.14	1.17	-	0.01	-	0.03	0.05	0.01	0.07	-	0.17	0.17	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.41	-	-	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	2.96	-	0.42	-	-	-	-	0.08	0.10	0.10	-	-	3.15	0.30	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.07	-	0.24	0.01	-	4.19	-	0.03	0.19	0.01	0.19	-	-	0.28	0.05	-	-	-	-	-	-	0.01	-	-	-	-	-	0.01	-	-	-	-	-
RB	-	1.44	-	0.58	-	2.67	0.21	0.19	0.01	0.07	0.01	0.01	1.80	-	0.41	-	-	-	-	0.01	0.10	0.12	-	0.33	0.05	0.03	-	0.03	-	-	-	-	-	-
NNS	0.66	0.99	0.05	2.24	-	-	0.16	-	-	0.07	0.17	0.01	-	0.03	1.82	0.66	-	-	-	-	-	-	0.08	-	-	-	-	-	0.05	-	-	-	-	-
CC	-	-	0.12	-	-	0.03	-	0.08	-	-	-	-	-	-	-	-	-	-	-	0.03	0.03	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-
VBP	-	0.05	-	0.69	-	0.01	0.08	-	0.01	2.03	0.03	-	-	0.08	0.17	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	1.49	3.42	0.08	0.17	1.98	-	0.74	0.19	0.37	0.12	0.08	0.08	3.51	-	-	-	-	0.08	0.03	-	0.12	-	-	0.03	-	0.03	-	-	-	-	-	-
VB	-	0.17	0.03	0.92	-	0.03	0.17	-	0.01	-	0.12	1.64	-	0.10	0.30	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.07	0.35	0.03	-	0.71	-	-	-	-	-	-	-	-	0.07	-	-	0.67	-	0.28	-	-	-	-	0.24	-	0.01	-	-	-	-	-	-	-
JJS	-	0.10	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-
UH	-	0.03	-	0.03	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.08	0.19	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.91	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	0.01	-	-	-	0.39	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
NNPS	-	0.08	-	0.14	0.42	-	-	-	-	-	0.01	-	-	-	1.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.08	0.01	-	-	-	0.01	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	0.78	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.03	-	-	-	-	-	-	0.01	-	-	-	0.07	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-
RBS	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
EX	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.03	0.01	0.03	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	0.01	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.37736143029642
Known Word WER = 3.581709741550696
Unknown Word WER = 42.638623326959845
	NNPS	JJ	RB	NN	NNS	IN	VBN	DT	VBG	VB	CD	VBP	RP	VBD	NNP	VBZ	POS	WDT	RBS	PDT	JJR	EX	FW	RBR	CC	UH	PRP	JJS	WP	NPS	PRP$	''	LS	TO
NNP	2.04	2.95	0.05	2.08	0.33	0.03	0.03	0.12	0.07	0.08	0.28	0.03	-	-	-	0.03	0.01	-	-	-	-	-	0.55	-	0.03	0.03	-	0.01	-	0.01	-	-	0.01	-
NN	0.01	7.11	0.17	-	0.72	0.03	0.14	0.01	1.40	0.76	0.33	0.39	0.01	0.19	5.74	0.05	-	-	-	-	-	-	0.12	-	-	-	0.05	-	-	0.01	-	-	-	-
IN	-	0.24	2.91	-	-	-	-	0.46	0.03	0.01	-	0.01	2.26	-	0.05	0.01	-	0.19	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.01
VBG	-	1.21	-	1.67	-	-	0.24	-	-	0.05	0.05	0.08	-	0.08	0.37	0.03	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.33	-	0.42	0.24	-	0.12	-	0.01	0.10	-	0.01	-	-	0.92	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	0.05	-
VBZ	0.01	0.08	-	0.14	1.17	-	0.01	-	0.03	0.05	0.01	0.07	-	0.17	0.17	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.40	-	-	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	2.95	-	0.42	-	-	-	-	0.08	0.10	0.10	-	-	3.15	0.30	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.07	-	0.24	0.01	-	4.18	-	0.03	0.19	0.01	0.19	-	-	0.28	0.05	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
RB	-	1.44	-	0.58	-	2.66	0.21	0.19	0.01	0.07	0.01	0.01	1.79	-	0.40	-	-	-	-	0.01	0.10	0.12	-	0.33	0.05	0.03	-	0.03	-	-	-	-	-	-
NNS	0.65	0.99	0.05	2.24	-	-	0.16	-	-	0.07	0.17	0.01	-	0.03	1.81	0.65	-	-	-	-	-	-	0.08	-	-	-	-	-	-	0.05	-	-	-	-
CC	-	-	0.12	-	-	0.03	-	0.08	-	-	-	-	-	-	-	-	-	-	-	0.03	0.03	-	0.01	0.03	-	-	-	-	-	-	-	-	-	-
VBP	-	0.05	-	0.69	-	0.01	0.08	-	0.01	2.02	0.03	-	-	0.08	0.17	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	1.49	3.41	0.08	0.17	1.97	-	0.74	0.19	0.39	0.12	0.08	0.08	3.50	-	-	-	-	0.08	0.03	-	0.12	-	-	0.03	-	0.03	-	-	-	-	-	-
VB	-	0.17	0.03	0.92	-	0.03	0.17	-	0.01	-	0.12	1.63	-	0.10	0.30	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.07	0.35	0.03	-	0.71	-	-	-	-	-	-	-	-	0.07	-	-	0.67	-	0.28	-	-	-	-	0.24	-	0.01	-	-	-	-	-	-	-
JJS	-	0.10	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-
UH	-	0.03	-	0.03	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.08	0.19	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.90	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	0.01	-	-	-	0.39	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-
NNPS	-	0.08	-	0.14	0.42	-	-	-	-	-	0.01	-	-	-	1.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.08	0.01	-	-	-	0.01	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	0.78	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	-	-	0.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.03	-	-	-	-	-	-	0.01	-	-	-	0.07	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-
RBS	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
EX	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
