------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
RP	-	0.01	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.00	0.01	-	0.19	-	-	-	0.05	1.48	-	-	-	0.18	0.00	3.82	0.07	-	-	-	-	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	-	0.01	-	-	0.12	-	1.69	-	-	-	0.00	-	-	0.15	1.29	-	-	-	-	0.00	-	1.29	-	-	-	-	-	-	-	-	-	0.01	-	-
DT	-	-	1.46	0.01	-	-	-	-	-	1.18	-	-	-	-	-	0.00	-	-	-	0.05	0.80	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-
CD	-	-	-	0.03	-	-	-	-	0.03	-	-	1.65	0.01	-	-	2.88	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.03	0.08	-	1.34	0.02	-	0.03	0.02	5.34	-	0.10	0.33	0.16	0.01	0.01	-	0.00	0.10	0.00	0.00	0.01	0.00	0.01	2.47	0.03	0.31	0.09	0.01	0.01	0.01	-	0.00	-	-	-	0.00
VBD	-	-	-	0.01	0.20	-	-	-	0.31	-	-	-	6.17	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
VBG	-	-	-	0.07	-	-	-	-	0.18	-	-	-	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	0.00	0.00	-	0.76	-	-	-	1.23	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.01	-	-	-	-	0.05	-	-	-	-	-	-	0.00	-	-	1.63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.00	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	-
