------------------------------------------
Baseline:
Word Error Rate = 9.99745813872208
Known Word WER = 8.278409414135831
Unknown Word WER = 84.40028139289483
	RP	RB	PDT	JJ	VB	EX	VBG	NN	IN	LS	WDT	POS	VBP	VBZ	VBN	RBR	CC	VBD	RBS	NNS	UH	NNP	NNPS	FW	CD	DT	JJR	JJS	PRP$	TO	MD	NPS	WP	PRP
	RP	RB	PDT	JJ	VB	EX	VBG	NN	IN	LS	WDT	POS	VBP	VBZ	VBN	RBR	CC	VBD	NNP	RBS	NNS	UH	NNPS	FW	CD	DT	JJR	JJS	PRP$	TO	MD	NPS	WP	PRP
IN	3.28	2.08	-	0.14	-	-	-	0.00	-	-	5.27	-	-	-	-	-	0.03	-	0.00	-	-	-	-	0.13	-	0.03	-	-	-	-	-	-	-	-
JJ	0.06	1.40	1.16	-	0.39	-	0.93	4.68	0.09	1.04	-	-	0.02	-	1.61	0.14	-	0.19	0.76	0.02	0.04	0.02	0.39	0.02	0.00	0.00	0.03	0.02	0.00	-	-	-	-	0.00
NN	0.04	0.24	0.13	3.51	7.63	-	3.94	-	0.04	0.06	-	-	1.67	0.00	0.26	-	0.00	0.06	1.41	-	0.33	0.11	0.02	0.19	0.14	0.00	0.01	-	-	0.00	0.03	-	-	-
VBN	-	-	-	0.17	0.39	-	-	0.62	-	-	-	-	0.00	-	-	0.00	-	2.93	0.02	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
RB	2.01	-	0.09	0.67	0.07	0.12	-	0.12	1.19	0.11	-	-	0.00	-	0.00	0.42	0.10	0.00	0.02	-	0.00	0.61	-	-	-	0.02	0.02	0.02	-	-	-	-	-	-
CD	-	0.00	-	0.04	-	-	-	0.01	-	1.61	-	-	-	-	0.00	-	-	-	2.97	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-
DT	-	-	1.45	0.02	-	-	-	-	-	-	1.19	-	-	-	-	-	0.13	-	0.00	-	-	0.73	-	0.00	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	0.36	-	-	-	1.25	-	-	-	-	-	-	0.01	-	0.84	-	0.05	-	-	-	-	-	-	-	-	-	-	-
VB	0.01	0.01	-	0.19	-	-	0.00	1.77	0.04	-	-	-	3.54	-	0.23	-	-	0.00	0.02	-	-	0.00	0.00	-	-	0.00	0.04	-	-	-	-	-	-	-
NNS	-	-	-	0.02	-	-	-	1.70	-	-	-	-	-	1.48	0.03	-	-	0.00	0.14	-	-	-	1.36	0.00	0.14	-	-	-	-	-	-	0.01	-	-
NNP	0.00	0.07	0.00	1.19	0.03	-	0.09	5.44	0.03	0.38	-	0.00	0.02	-	0.14	0.01	0.02	0.02	-	0.02	0.10	0.01	2.30	0.11	0.04	0.08	0.02	0.05	0.00	-	0.00	-	-	0.00
VBD	-	-	-	0.02	0.20	-	-	0.29	-	-	-	-	0.00	-	6.40	0.00	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJR	-	0.00	-	-	-	-	0.00	0.04	-	-	-	-	-	-	-	1.69	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.50	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	0.01	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.00	-	-	-	0.08	-	-	-	-	-	-	0.00	-	0.00	-	0.02	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBP	0.00	-	-	0.04	2.53	-	-	0.38	0.02	-	-	-	-	-	0.03	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-
PRP	-	-	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	0.12	-	-	-	-	-
CC	-	0.02	0.02	-	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.04	-	-	-	0.39	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.00	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	0.02	-
WP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	0.02	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
