------------------------------------------
Baseline:
Word Error Rate = 10.660472440944883
Known Word WER = 8.456780008857985
Unknown Word WER = 83.6620626645886
	RBR	VBZ	POS	WDT	VBD	NN	NNS	JJ	PDT	IN	VB	LS	VBN	NNPS	RB	RBS	SYM	RP	VBG	VBP	PRP	DT	CC	UH	CD	FW	PRP$	NNP	EX	JJR	MD	JJS	WP	TO	$	,
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.45007874015748
Known Word WER = 8.456780008857985
Unknown Word WER = 76.48196915139464
	RBR	VBZ	POS	WDT	VBD	NN	NNS	JJ	PDT	IN	VB	LS	VBN	NNPS	RB	RBS	SYM	RP	VBG	VBP	PRP	NNP	DT	CC	UH	CD	FW	PRP$	EX	JJR	MD	JJS	WP	TO	$	,
JJR	1.45	-	-	-	-	0.08	-	0.00	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	1.37	0.00	-	-	2.15	-	0.01	-	-	-	-	0.01	1.25	-	-	-	-	0.00	-	-	0.14	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	1.19	-	-	0.40	0.75	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	-	4.93	-	0.01	-	0.18	-	-	-	-	0.00	-	1.86	-	0.00	3.03	0.00	0.00	-	0.00	0.02	0.01	-	-	0.15	-	-	-	-	-	-	0.00	-	-
VBN	-	0.00	-	-	2.60	0.76	-	0.16	-	-	0.34	-	-	-	-	-	-	-	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.00	0.00	0.01	-	0.00	6.66	0.12	1.18	-	0.02	0.03	0.33	0.15	2.32	0.07	0.01	-	0.00	0.08	0.03	0.00	-	0.10	-	0.00	0.04	0.21	0.00	-	0.01	0.01	0.01	-	-	0.01	0.00
NN	0.00	0.00	-	0.00	0.06	-	0.37	3.63	0.13	0.03	7.21	0.03	0.18	0.03	0.24	0.01	0.00	0.03	4.37	2.15	0.01	1.39	0.00	0.00	0.02	0.13	0.64	-	-	0.00	0.03	0.00	-	0.00	-	-
RP	-	-	-	-	-	-	-	0.00	-	0.17	0.00	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.00	-	0.00	0.00	0.38	-	0.03	-	0.02	2.33	-	0.04	0.00	0.00	-	-	0.00	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	-	-	0.03	0.02	0.02	-	-	-	1.57	0.01	-	-	-	-	-	-	-	0.00	3.55	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.15	-	-	-	0.16	4.93	0.05	-	1.02	0.05	0.49	0.04	1.44	0.47	1.13	0.02	-	0.06	0.82	0.04	0.00	0.83	0.00	0.00	0.00	0.01	0.00	-	-	0.02	0.00	0.01	-	-	-	-
JJS	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.58	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.01	-	-	-	-	-	0.00	-	0.02	0.00	-	-	-	-	0.05	-	1.00	-	-	-	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
VBD	-	-	-	-	-	0.46	-	0.03	-	-	0.19	-	5.99	-	-	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
RB	0.37	-	-	0.01	0.00	0.18	-	0.72	0.11	1.11	0.06	0.02	0.00	-	-	0.00	-	1.83	-	0.00	-	0.03	0.02	0.06	0.16	-	0.00	-	0.16	0.03	-	0.01	-	-	-	-
VB	0.00	-	-	-	0.02	1.76	0.00	0.17	-	0.05	-	-	0.19	-	0.03	0.00	-	0.01	0.00	3.76	-	0.05	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-
DT	-	-	-	1.12	-	0.00	-	0.01	1.47	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	0.09	0.66	-	0.00	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	0.22	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
