Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
JJ|RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 9.795999928475846
Known WER = 8.355191659121873
Unknown WER = 77.89110460033062
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	VBG	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
VBP	2.37	0	0.05	0.0	0.00	0.0	0.0	0.39	0	0	0	0	0	0	0	0	0.02	0.00	0	0.01	0.04	0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0
CD	0	1.72	0.00	0	0	0	0.0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	2.90	0.01	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNP	0.03	0.43	0.10	2.36	0.00	0	0.06	5.02	0.00	0.09	0.00	0.00	0.02	0.00	0.07	0.12	0.02	0.02	0.00	0	1.28	0.00	0.0	0.00	0	0.02	0.17	0.03	0	0.00	0.03	0.01	0	0	0	0.00	0.0
VBN	0.32	0	0	0	2.87	0	0	0.52	0	0	0	0.00	0.00	0	0	0.0	0	0	0	0.01	0.14	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
IN	0	0	0	0	0	5.16	2.07	0.00	0	0.00	0	0	0.0	0	0.02	0	0	3.39	0.01	0.0	0.17	0	0	0	0	0	0.11	0	0.0	0	0	0	0.0	0	0	0	0
JJ	0.49	0.58	1.68	0.49	0.19	0	1.18	4.26	0.02	0.91	1.0	0.15	0.02	0	0.00	0.05	0.04	0.07	0.0	0.78	0	0.00	0.0	0	0	0.01	0.00	0.01	0.0	0.00	0.01	0.0	0	0	0	0	0
JJS	0	0.0	0	0	0	0	0	0.00	0.48	0	0	0.00	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB	0	0	0.27	0	0.01	0	0.00	1.59	0.00	0.00	0	0.0	3.76	0	0	0.00	0.06	0.02	0	0.04	0.21	0.0	0	0	0	0.01	0	0	0	0	0	0.0	0	0	0	0	0
NNS	0	0	0.01	1.27	0.0	0	0	1.57	0	0.0	0	0	0	0.0	0	0	0	0	0	0.13	0.01	0	0	1.39	0	0	0	0.10	0	0	0	0	0	0.00	0	0	0
NN	8.04	0.04	0.28	0.01	0.05	0.0	0.26	0	0.00	4.97	0.13	0	1.75	0	0.00	0.36	0.03	0.02	0.00	1.53	3.69	0.12	0	0.00	0	0.00	0.25	0.11	0.0	0.01	0.00	0.03	0.00	0	0	0	0
DT	0	0	0	0	0	1.21	0	0	0	0	1.50	0	0	0	0	0	0	0	0.07	0	0.01	0.73	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0
VBZ	0	0	0	0.02	0	0	0	0.31	0	0	0	0	0.0	1.22	0	0.79	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0.16	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD	0.17	0	6.42	0	0	0	0	0.29	0	0	0	0.00	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0
RB	0.08	0.06	0.0	0.0	0.0	0.01	0	0.13	0.00	0.00	0.11	0.37	0.00	0	0.01	0.0	1.14	1.95	0.05	0.02	0.73	0.59	0	0	0.16	0.02	0.0	0.0	0	0	0.01	0	0	0	0	0	0
