------------------------------------------
Baseline:
Word Error Rate = 9.858510163571175
Known Word WER = 8.182762119769995
Unknown Word WER = 84.68563400070249
	NN	NNS	JJ	PDT	IN	VBD	VB	POS	VBZ	UH	VBP	NNP	LS	VBN	RB	NNPS	WDT	RBS	RBR	RP	PRP$	VBG	CD	DT	MD	EX	CC	FW	PRP	JJR	JJS	WP	NPS	$	SYM	TO
VB|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.550525489713327
Known Word WER = 3.6896174691450283
Unknown Word WER = 42.99262381454162
	JJ	NNS	IN	NNP	NN	VBN	VB	RB	VBD	RBS	DT	JJR	PDT	VBZ	CD	VBP	NNPS	VBG	EX	POS	RP	RBR	WDT	''	CC	FW	PRP	JJS	WP	NPS	MD	LS	PRP$	UH	SYM	TO
NNP	2.83	0.30	0.05	-	1.99	0.07	0.07	0.13	0.01	-	0.15	0.00	-	0.05	0.32	0.00	2.18	0.05	-	0.03	-	-	-	-	-	0.16	0.01	-	-	-	0.00	0.01	-	-	-	-
VBZ	0.12	1.08	-	0.22	0.12	0.02	0.05	-	0.11	-	-	-	-	-	0.02	0.06	-	0.01	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	6.61	0.75	0.03	5.78	-	0.16	0.49	0.10	0.06	-	0.00	-	0.00	0.00	0.29	0.23	-	1.41	-	-	0.02	-	-	-	-	0.05	0.05	-	-	-	0.03	-	-	-	-	-
RP	0.00	-	0.75	-	-	-	-	0.40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	0.41	0.01	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-
NNS	0.80	-	-	2.36	2.21	0.15	0.05	0.04	0.00	-	-	-	-	0.76	0.13	0.05	0.53	0.00	-	-	-	-	-	-	-	0.00	-	-	-	0.04	-	-	-	-	-	-
VBD	0.32	-	-	0.27	0.16	4.53	0.14	-	-	-	-	-	-	0.05	-	0.16	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.07	0.01	-	0.13	0.84	0.05	2.03	0.04	0.16	-	-	-	-	0.00	0.00	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.21	-	-	0.10	0.00	-	0.00	2.86	-	-	0.41	-	-	-	-	0.01	-	0.01	-	-	2.21	-	0.24	-	0.04	0.06	-	-	-	-	-	-	-	-	-	0.00
VB	0.21	0.00	0.04	0.22	0.85	0.12	-	0.05	0.12	-	-	0.03	-	0.00	0.12	1.74	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.02	-	0.70	0.02	0.05	-	-	0.34	-	-	-	-	0.33	-	-	-	-	-	-	-	-	-	0.50	-	0.16	0.01	0.00	-	-	-	-	-	-	-	-	-
VBN	2.93	0.00	-	0.46	0.33	-	0.12	-	3.04	-	-	-	-	0.00	0.06	0.02	-	0.05	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-
JJS	0.10	-	-	0.00	0.01	-	-	-	-	0.32	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.42	0.00	3.49	0.39	0.75	0.14	0.07	-	-	-	0.24	0.02	0.03	0.01	0.03	0.00	-	0.00	0.05	-	1.54	0.35	-	-	0.07	-	-	0.01	-	0.00	-	-	-	0.03	-	-
JJ	-	0.12	0.10	3.61	3.24	2.09	0.27	1.55	0.11	-	0.02	0.01	0.09	0.02	0.60	0.09	-	0.49	-	-	0.02	0.01	-	-	0.00	0.03	-	-	-	0.01	-	0.00	-	0.01	-	-
VBG	1.25	-	-	0.43	2.16	0.16	0.04	0.01	0.02	-	-	-	-	0.02	0.10	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	0.01	-	-	-	-	0.15	-	-	0.12	-	0.01	-	0.00	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.02	-	0.00	0.00	-	0.01	-	0.21	-	-	-	0.84	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
CD	1.71	0.32	-	0.85	0.46	0.07	0.10	0.00	-	-	-	-	0.00	-	-	0.02	-	0.04	-	-	-	-	-	-	-	-	0.06	-	-	0.00	-	0.00	-	-	-	-
JJR	0.14	0.00	-	0.06	0.03	-	0.00	0.02	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-
NNPS	0.08	0.53	-	1.30	0.18	0.00	0.00	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-
MD	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.04	0.03	-	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-
UH	0.00	-	-	0.03	0.01	-	-	0.02	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
