------------------------------------------
Baseline:
Word Error Rate = 10.093138038448194
Known Word WER = 8.42085117580919
Unknown Word WER = 83.74012291483758
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	RP	VB	EX	VBG	WDT	VBD	CC	VBN	UH	VBZ	PRP$	LS	IN	NNS	RBS	JJS	MD	CD	JJR	DT	FW	PRP	$	WP	SYM	TO
CC	-	-	0.02	-	-	-	-	0.03	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-
VBP	-	-	-	0.41	0.07	-	0.03	-	-	-	-	2.36	-	-	0.00	-	0.01	-	0.00	-	-	0.03	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	0.00	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-
VBG	-	-	-	0.10	0.03	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
NNPS	-	-	-	0.00	0.01	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.07	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
