------------------------------------------
Baseline:
Word Error Rate = 10.666612455275603
Known Word WER = 8.452390544177128
Unknown Word WER = 83.36154904242937
	NN	WDT	JJ	RBS	VBD	VB	VBP	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	VBG	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.469731278304602
Known Word WER = 8.452390544177128
Unknown Word WER = 76.70087821394561
	WDT	JJ	RBS	NN	VBD	VB	VBP	VBG	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
DT	1.12	0.01	-	-	-	-	-	-	-	0.71	0.00	-	-	-	-	1.34	-	-	-	-	-	0.00	0.06	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RB	0.02	0.67	0.00	0.13	0.00	0.08	0.00	0.00	0.03	0.59	-	0.37	-	-	-	0.10	1.10	0.09	0.00	1.87	0.00	0.02	0.09	0.02	0.02	-	-	-	0.13	-	-	-	-	-	-	-
JJS	-	0.00	0.43	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.02	-	2.33	-	-	-	-	-	-	-	-	1.50	-	-	-	-	-	0.02	-	1.15	0.19	-	-	-	-	0.09	-	-	-	-	-	-	0.00	-	-
VBZ	-	-	-	0.41	-	-	-	-	-	-	-	-	-	1.19	0.75	-	-	-	-	-	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	0.14	-	0.70	3.09	0.25	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP	-	0.05	-	0.35	0.00	2.29	-	-	0.00	-	0.00	-	0.01	-	-	-	0.02	-	0.05	0.00	0.00	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	0.17	0.00	1.78	0.02	-	3.51	0.00	0.03	0.00	0.00	0.00	-	-	0.00	-	0.05	-	0.33	0.02	0.00	0.04	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJ	-	-	0.02	5.10	0.17	0.51	0.05	0.91	0.02	0.01	1.17	0.14	-	-	0.04	0.79	0.10	1.03	1.53	0.07	0.42	0.81	0.00	0.01	0.01	0.01	0.00	0.00	-	-	-	-	0.00	-	-	-
NN	0.00	3.42	0.01	-	0.07	7.41	2.08	4.68	0.01	0.01	0.27	0.00	0.00	-	0.35	0.14	0.04	0.05	0.23	0.02	0.02	1.40	0.01	0.00	0.00	0.17	0.11	-	-	0.00	0.03	-	0.01	-	-	-
JJR	-	0.00	-	0.08	-	-	-	0.00	-	-	0.00	1.50	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	4.94	0.10	-	0.01	-	0.00	0.00	0.00	-	-	1.91	-	-	-	-	-	-	-	0.00	3.11	-	0.01	0.02	0.03	-	0.12	-	-	-	0.00	-	-	-	-	-	0.00
NNP	-	1.15	0.02	6.55	0.00	0.04	0.03	0.10	0.02	0.00	0.10	0.00	0.00	0.01	0.11	0.00	0.02	0.40	0.12	0.00	2.09	-	0.00	0.08	0.02	0.05	0.03	0.00	-	-	0.01	-	0.00	-	0.01	-
RP	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	0.16	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	0.02	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	0.00	-	1.54	0.00	-	-	3.53	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-
VBD	-	0.02	-	0.49	-	0.17	0.00	-	-	-	-	-	-	-	-	-	-	-	5.71	-	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
NNPS	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	0.00	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
CC	-	-	-	-	-	-	-	-	-	-	0.02	0.01	-	-	0.00	0.03	0.00	-	-	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	0.00	-	-	-	0.20	-	0.00	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.06	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	0.03	0.10	-	-	-	-	-	-	-	-
FW	-	-	-	0.07	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	0.01	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-
UH	-	-	-	0.03	-	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-
WP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
