------------------------------------------
Baseline:
Word Error Rate = 10.800970873786406
Known Word WER = 8.51213450642885
Unknown Word WER = 84.25398779299378
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	NNPS	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
VBD	0.46	-	0.03	-	-	-	5.37	-	-	-	0.14	-	0.02	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
IN	0.01	-	0.09	-	-	-	-	1.87	3.04	-	0.00	0.00	0.00	4.81	-	-	-	0.00	-	-	0.03	-	0.02	-	-	-	-	0.16	-	-	-	-	0.00	-
NNS	2.32	-	0.01	-	-	-	0.03	-	-	1.27	-	0.00	0.16	-	0.10	-	-	-	-	-	-	-	-	-	1.51	-	-	0.00	-	-	-	-	-	-
RB	0.14	0.00	0.62	0.09	1.10	0.00	-	-	1.82	0.00	0.08	-	0.02	0.02	-	0.15	-	0.00	0.40	-	0.02	0.10	0.08	0.62	-	0.00	-	-	0.00	-	-	-	-	-
VB	1.72	-	0.18	-	0.04	0.01	0.29	0.00	0.02	-	-	0.00	0.04	-	-	-	0.01	3.89	0.00	-	0.00	-	-	0.00	-	0.02	-	-	-	0.00	-	-	-	-
JJS	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.44	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	-	0.01	1.36	-	-	-	0.00	-	-	-	-	0.00	1.13	-	-	-	-	-	-	-	-	0.06	0.69	-	-	-	0.00	-	-	0.00	-	-	-
CD	0.03	0.02	0.00	0.00	-	-	0.00	-	-	-	-	-	3.53	-	-	-	-	-	-	-	0.00	1.52	-	-	-	-	-	-	-	-	0.00	-	-	-
NNPS	0.00	0.07	0.00	-	-	-	0.00	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.07	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	1.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-
PRP	0.01	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.03	-	-	-	-	0.00	-	-	-	-	0.00	-	0.10	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	0.02	0.00	-	-	0.01	-	-	-	-	0.00	-	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBG	0.12	-	0.07	-	-	-	0.00	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	-	-	0.00	-	0.00	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-
