------------------------------------------
Baseline:
Word Error Rate = 9.861167504763095
Known Word WER = 8.35809954823237
Unknown Word WER = 83.52206169465053
	RP	RB	PDT	JJ	VB	EX	VBP	POS	NNP	NN	VBD	WDT	VBG	NNPS	VBN	NNS	VBZ	IN	LS	RBR	FW	CD	PRP$	CC	UH	JJR	MD	RBS	DT	WP	PRP	JJS	$	NPS	SYM	,
PRP	-	-	-	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.03	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.38	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.09	-	-	-	-	0.02	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0.06	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	0.02	-	-	-	-	0.03	0.26	-	-	-	-	-	0.07	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-
VB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.718274666583378
Known Word WER = 8.35809954823237
Unknown Word WER = 76.37641546270987
	RP	RB	PDT	JJ	VB	EX	VBP	POS	NNP	NN	VBD	WDT	VBG	NNPS	VBN	NNS	VBZ	IN	LS	RBR	FW	CD	PRP$	RBS	CC	UH	JJR	MD	DT	WP	PRP	JJS	$	NPS	SYM	,
IN	3.43	2.15	-	0.16	-	-	0.00	-	0.00	-	-	4.90	-	-	-	-	-	-	-	-	0.16	-	-	-	0.01	-	-	-	0.04	-	-	-	-	-	0.00	-
JJ	0.03	1.18	1.10	-	0.54	-	0.04	-	0.67	4.07	0.15	-	0.89	0.46	1.64	0.04	-	0.04	0.32	0.15	0.01	0.03	-	0.03	-	0.04	0.01	-	-	-	-	0.01	-	-	-	-
NN	0.01	0.35	0.09	3.68	8.20	-	1.78	-	1.49	-	0.07	-	5.33	0.00	0.28	0.37	0.00	0.04	0.04	-	0.28	0.14	-	-	-	0.15	0.03	0.02	0.03	-	0.03	0.00	-	-	0.00	-
VBN	-	-	-	0.20	0.40	-	-	-	0.02	0.55	2.74	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.96	-	0.12	0.81	0.11	0.17	0.00	-	0.00	0.19	0.00	0.03	-	-	-	-	-	1.25	0.03	0.34	-	-	-	-	0.04	0.63	0.00	-	0.00	-	-	0.01	-	-	-	-
DT	-	-	1.68	-	-	-	-	-	-	-	-	1.32	-	-	-	-	-	-	-	-	0.00	-	-	-	0.04	0.76	-	-	-	-	-	-	-	-	-	-
VB	0.02	0.00	-	0.24	-	-	3.64	-	0.04	1.53	0.01	-	-	-	0.20	0.00	-	0.04	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	-	-	0.00	2.31	-	-	-	0.02	0.39	0.01	-	-	-	0.04	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.01	0.08	-	1.29	0.07	-	0.03	0.00	-	4.68	-	-	0.08	2.25	0.10	0.11	-	0.01	0.64	0.00	0.25	0.05	0.00	-	-	-	0.04	0.02	0.06	-	0.00	0.09	0.02	-	-	0.00
CD	-	-	-	0.01	-	-	-	-	2.83	0.01	-	-	-	-	-	-	-	-	1.59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	-	0.02	-	-	-	0.00	0.11	1.43	-	-	-	1.29	0.01	-	1.41	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-
VBD	-	-	-	0.03	0.21	-	-	-	0.02	0.35	-	-	-	-	6.58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	1.36	0.00	0.35	-	-	-	0.01	-	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.08	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.00	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	1.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.03	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.40	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	-	-	-	0.01	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
VBG	-	-	-	0.09	-	-	-	-	0.05	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0.06	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	0.02	-	-	-	-	0.03	-	-	-	-	-	0.00	0.07	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-
VB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.480432270356373
Known Word WER = 3.668321288852414
Unknown Word WER = 44.27957828973057
	NNS	RP	RB	JJ	CD	VB	NN	VBG	NNP	JJR	VBZ	IN	VBN	NNPS	VBP	PDT	FW	VBD	RBR	WDT	POS	NPS	JJS	PRP$	DT	WP	PRP	RBS	UH	CC	EX	LS	SYM	,
VBZ	1.32	-	-	0.08	0.03	0.10	0.24	0.05	0.27	-	-	-	0.01	-	0.06	-	0.01	0.20	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	2.50	3.22	0.13	-	-	0.03	0.01	0.08	-	-	-	-	-	0.01	-	0.08	-	-	0.13	-	-	-	-	0.50	-	-	-	-	0.03	-	-	0.01	-
VB	-	0.01	0.10	0.34	0.29	-	0.88	0.05	0.22	0.01	-	-	0.08	-	1.79	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
CC	-	-	0.12	-	-	-	-	-	-	-	-	0.08	-	-	-	0.03	-	-	0.01	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-
VBP	-	-	0.01	0.03	0.01	2.30	0.76	-	0.08	-	-	0.03	0.06	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.06	0.03	1.60	-	0.45	0.27	3.15	0.36	2.63	0.03	0.01	0.06	1.96	-	0.06	0.19	0.15	0.15	0.06	-	-	0.01	0.01	-	-	-	-	-	0.08	-	-	-	-	-
NNP	0.24	-	0.06	2.56	0.22	0.08	2.07	0.01	-	-	0.01	0.01	0.05	1.98	0.03	-	0.22	0.05	-	-	0.01	0.03	0.03	0.01	0.08	-	-	-	-	-	-	0.05	-	0.01
NNS	-	-	0.05	0.78	0.13	0.03	2.03	-	1.82	-	0.78	-	0.06	0.69	0.05	-	0.06	0.01	-	-	-	0.06	-	-	-	-	-	-	0.01	-	-	-	-	-
NN	0.85	-	0.19	7.07	0.43	0.57	-	1.30	6.18	0.03	0.06	0.01	0.20	-	0.36	0.03	0.17	0.12	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	0.01	-
RBR	-	-	0.20	0.03	-	-	-	-	-	1.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.03	-	-	1.42	0.01	0.06	2.12	-	0.62	-	0.01	-	0.08	-	0.06	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
RB	-	1.60	-	1.55	0.01	0.13	0.60	-	0.34	-	-	3.32	0.22	-	0.03	0.03	-	0.01	0.36	-	-	0.03	-	-	0.17	-	-	0.01	-	0.08	0.03	-	-	-
VBD	-	-	-	0.19	0.01	0.12	0.20	0.06	0.20	-	0.01	-	4.16	-	0.15	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.26	-	-	1.27	-	0.12	0.41	0.03	0.85	-	-	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	0.03	-	-
RP	-	-	0.50	0.01	-	-	-	-	0.01	-	-	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.03	-	-	3.03	0.13	0.06	0.24	0.06	0.47	-	-	-	-	-	0.01	-	0.01	2.82	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
DT	-	-	0.33	-	-	-	0.06	-	0.05	-	-	0.74	-	-	-	0.33	-	-	-	0.62	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
JJS	-	-	-	0.05	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.01	-	-	-	-	0.13	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-
JJR	-	-	0.01	0.05	-	0.01	-	-	0.08	-	-	-	-	-	-	-	-	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.41	-	-	0.10	-	-	0.13	-	1.37	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.01	-	-	-	-	-	-	-	0.43	-	-	-	-	-	-	-	-	-	-	-	-	0.05	0.13	-	-	-	-	-	-	-	-
PRP	-	-	-	0.01	-	-	0.03	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	0.13	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.01	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	0.01	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.01	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	0.03	0.01	-	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.4991723147078115
Known Word WER = 3.6874437282382653
Unknown Word WER = 44.27957828973057
	NNS	RP	RB	JJ	CD	VB	NN	VBG	NNP	JJR	VBZ	IN	VBN	NNPS	VBP	PDT	FW	VBD	RBR	WDT	POS	NPS	JJS	PRP$	DT	WP	PRP	RBS	UH	CC	EX	LS	SYM	,
VBZ	1.31	-	-	0.08	0.03	0.10	0.24	0.05	0.27	-	-	-	0.01	-	0.06	-	0.01	0.20	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	2.49	3.21	0.13	-	-	0.03	0.01	0.08	-	-	-	-	-	0.01	-	0.08	-	-	0.13	-	-	-	-	0.50	-	-	-	-	0.03	-	-	0.01	-
VB	-	0.01	0.10	0.34	0.29	-	0.88	0.05	0.22	0.01	-	-	0.08	-	1.78	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
CC	-	-	0.12	-	-	-	-	-	-	-	-	0.08	-	-	-	0.03	-	-	0.01	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-
VBP	-	-	0.01	0.03	0.01	2.29	0.76	-	0.08	-	-	0.03	0.06	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.06	0.03	1.59	-	0.45	0.27	3.14	0.36	2.62	0.03	0.01	0.06	1.96	-	0.06	0.19	0.15	0.15	0.06	-	-	0.01	0.01	-	-	-	-	-	0.08	-	-	-	-	-
NNP	0.24	-	0.06	2.55	0.22	0.08	2.06	0.01	-	-	0.01	0.01	0.05	1.97	0.03	-	0.22	0.05	-	-	0.01	0.03	0.03	0.01	0.08	-	-	-	-	-	-	0.05	-	0.01
NNS	-	-	0.05	0.78	0.13	0.03	2.03	-	1.82	-	0.78	-	0.06	0.69	0.05	-	0.06	0.01	-	-	-	0.06	-	-	-	-	-	-	0.01	-	-	-	-	-
NN	0.85	-	0.19	7.04	0.43	0.57	-	1.30	6.16	0.03	0.06	0.01	0.20	-	0.36	0.03	0.17	0.12	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	0.01	-
RBR	-	-	0.20	0.03	-	-	-	-	-	1.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.03	-	-	1.42	0.01	0.06	2.11	-	0.62	-	0.01	-	0.08	-	0.06	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
RB	-	1.59	-	1.54	0.01	0.13	0.60	-	0.34	-	-	3.31	0.22	-	0.03	0.03	-	0.01	0.36	-	-	0.03	-	-	0.17	-	-	0.01	-	0.08	0.03	-	-	-
VBD	-	-	-	0.19	0.01	0.12	0.20	0.06	0.20	-	0.01	-	4.14	-	0.15	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.26	-	-	1.26	-	0.12	0.41	0.03	0.85	-	-	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	0.03	-	-
RP	-	-	0.50	0.01	-	-	-	-	0.01	-	-	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.03	-	-	3.01	0.13	0.06	0.24	0.06	0.46	-	-	-	-	-	0.01	-	0.01	2.81	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
DT	-	-	0.32	-	-	-	0.06	-	0.05	-	-	0.74	-	-	-	0.32	-	-	-	0.62	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
JJS	-	-	-	0.05	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-
#	-	-	-	-	0.41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.01	-	-	-	-	0.13	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-
JJR	-	-	0.01	0.05	-	0.01	-	-	0.08	-	-	-	-	-	-	-	-	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.41	-	-	0.10	-	-	0.13	-	1.37	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.01	-	-	-	-	-	-	-	0.43	-	-	-	-	-	-	-	-	-	-	-	-	0.05	0.13	-	-	-	-	-	-	-	-
PRP	-	-	-	0.01	-	-	0.03	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	0.13	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.01	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	0.01	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.01	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	0.03	0.01	-	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
