------------------------------------------
Baseline:
Word Error Rate = 10.178863879632818
Known Word WER = 8.496456424857637
Unknown Word WER = 83.95250212044105
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	RB	NNPS	UH	RBR	VBD	VBN	VBP	CC	VBG	VBZ	NNP	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
JJS	0.00	-	0.00	-	-	-	-	-	-	0.49	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	1.62	-	0.16	-	0.03	0.00	0.01	-	-	-	-	0.00	0.00	-	0.00	0.04	0.00	0.01	0.34	3.67	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
NNS	1.68	-	0.01	-	-	0.09	-	-	-	-	-	-	-	1.25	-	0.17	-	-	0.00	-	-	1.45	-	-	0.00	-	-	-	-	-	-	-	-	-
JJ	4.15	0.06	-	1.07	0.06	0.01	0.06	-	-	0.02	0.49	0.93	1.34	0.42	0.00	0.71	0.14	0.16	1.66	0.05	-	-	-	1.17	-	0.00	0.02	0.00	0.01	-	-	-	-	-
DT	0.00	-	0.01	1.43	-	-	-	-	1.20	-	-	-	-	-	0.82	-	-	-	-	-	0.10	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJR	0.07	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	1.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.55	-	0.18	-	-	-	-	-	-	-	0.23	-	-	-	-	0.01	-	3.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.37	-	0.00	-	-	-	-	-	-	-	0.16	-	-	-	-	0.01	-	-	5.96	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
CD	0.01	0.01	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	3.15	-	-	0.00	-	-	-	-	1.72	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-
