------------------------------------------
Baseline:
Word Error Rate = 9.89893939935007
Known Word WER = 8.17950840963699
Unknown Word WER = 84.97253234095339
	NN	NNS	JJ	PDT	IN	VBG	VB	RP	WDT	RBR	VBP	POS	DT	LS	VBN	VBD	RB	CC	UH	NNPS	PRP$	VBZ	CD	JJR	NNP	FW	EX	RBS	JJS	MD	PRP	WP	SYM	NPS
RB	0.11	0.00	0.76	0.09	1.06	0.00	0.10	1.88	-	0.01	0.42	0.00	-	0.03	0.03	-	0.00	0.01	-	0.06	0.63	-	-	-	0.04	-	0.14	0.00	0.01	-	-	-	-	-
DT	-	-	0.01	1.54	-	-	-	-	-	1.21	-	-	-	-	-	-	-	-	-	0.11	0.79	-	-	-	-	0.00	-	-	-	-	-	-	-	-
IN	0.00	-	0.17	-	-	-	0.00	3.45	-	5.11	-	-	-	0.03	-	0.00	-	0.00	2.14	0.02	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-
JJ	4.62	0.05	-	0.89	0.06	0.94	0.53	0.06	0.50	-	0.15	0.02	-	-	0.32	1.73	0.17	0.69	1.27	-	0.00	-	-	0.00	0.01	0.01	-	0.02	0.02	-	0.00	-	-	-
VB	1.79	-	0.19	-	0.07	0.00	-	-	-	-	0.00	3.69	-	-	-	0.16	0.01	0.04	0.00	-	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-
CD	0.03	0.02	0.00	-	-	-	-	-	-	-	-	-	-	-	1.68	0.01	-	3.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.32	-	0.02	-	-	-	0.13	-	-	-	0.00	0.00	-	-	-	6.28	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
VBN	0.58	-	0.19	-	-	-	0.32	-	-	-	0.01	0.00	-	-	-	-	2.83	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.06	-	0.01	-	-	-	-	-	-	-	1.61	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	1.57	-	0.01	-	-	-	-	-	1.35	-	-	-	-	-	-	0.01	0.00	0.16	-	-	-	-	1.46	0.08	-	0.00	-	-	-	-	-	-	-	0.00
PRP	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.09	0.00	0.05	-	-	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.28	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.53	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
FW	0.06	-	0.00	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
NNPS	0.00	0.07	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	0.04	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.05	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-
MD	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.557051427029644
Known Word WER = 3.6727222546918634
Unknown Word WER = 43.16852737905369
	JJ	NNS	IN	VBG	NN	RP	RB	VBP	DT	VBD	NNP	FW	RBR	JJR	PDT	VBN	VB	NNPS	VBZ	CD	RBS	WDT	CC	POS	PRP$	JJS	LS	PRP	WP	NPS	UH	''	EX	MD
NNP	2.85	0.26	0.08	0.06	1.80	0.00	0.08	0.01	0.15	0.01	-	0.33	-	0.00	-	0.06	0.10	2.08	0.03	0.27	0.00	-	0.02	0.00	0.00	0.01	0.08	-	-	0.01	0.00	-	-	-
VBZ	0.13	1.03	-	0.06	0.20	-	-	0.07	-	0.17	0.32	-	-	-	-	0.03	0.05	-	-	0.05	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-
NN	7.31	0.75	0.00	1.12	-	0.01	0.17	0.30	0.01	0.09	5.64	0.14	-	0.02	0.03	0.20	0.52	-	0.05	0.37	-	-	0.00	-	-	-	-	0.08	-	0.00	0.00	-	-	0.02
RP	-	-	0.75	-	-	-	0.56	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.18	-	0.03	0.04	1.07	-	0.04	1.97	-	0.08	0.26	0.00	-	0.05	-	0.18	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.44	0.02	2.96	0.03	0.53	1.40	-	0.03	0.24	0.01	0.47	-	0.48	0.03	0.00	0.17	0.12	-	0.00	0.01	0.00	-	0.07	-	-	0.01	-	-	-	0.01	0.05	-	0.06	-
DT	0.02	-	0.69	-	0.08	-	0.52	-	-	-	0.00	0.00	-	-	0.33	-	-	-	-	-	-	0.56	0.12	-	-	-	-	-	-	-	-	-	-	-
VBP	0.12	-	0.01	0.04	0.89	-	0.02	-	-	0.14	0.12	-	-	-	-	0.11	1.98	-	0.03	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBN	2.87	-	-	0.16	0.37	-	0.00	0.03	-	2.81	0.36	-	-	-	-	-	0.17	-	0.00	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.58	0.26	-	0.05	0.51	-	-	0.00	-	-	0.86	-	-	-	-	0.06	0.14	-	-	-	-	-	-	-	-	-	0.02	0.06	-	-	-	-	-	-
JJ	-	0.06	0.17	0.47	2.90	0.06	1.58	0.04	0.01	0.13	3.06	0.12	0.01	0.02	0.09	1.88	0.27	-	0.00	0.65	-	-	-	-	-	0.02	0.01	-	-	-	0.00	-	-	-
IN	0.24	-	-	0.00	-	2.28	2.74	0.00	0.46	-	0.02	0.03	-	-	-	-	0.00	-	-	-	-	0.25	0.05	-	-	-	-	-	-	-	-	-	-	-
JJR	0.11	-	-	-	0.04	-	0.04	0.00	-	-	0.03	-	0.79	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.02	-	0.01	-	0.13	-	0.08	-	-	-	0.01	0.00	0.02	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	-	-	0.00	-	0.23	-	-	-	0.01	-	-	0.94	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
VBD	0.20	-	-	0.06	0.16	-	-	0.10	-	-	0.25	0.00	-	-	-	4.24	0.09	-	0.04	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00
NNS	0.63	-	-	0.00	2.41	-	0.05	0.00	-	-	2.09	0.02	-	-	-	0.16	0.05	0.53	0.72	0.16	-	-	-	-	-	-	0.00	-	-	0.02	-	-	-	-
VBG	1.52	0.00	-	-	1.96	-	-	0.04	-	0.06	0.35	0.01	-	-	-	0.24	0.15	-	0.00	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.10	0.01	-	-	0.03	-	-	-	-	-	0.02	-	-	0.01	-	0.00	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	0.00	0.00	-	0.00	0.02	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	0.03	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	0.00	0.03	-	-	-	0.00	0.05	-	0.00	-	-	-	-	-	-	-
WDT	-	-	0.51	-	-	-	0.00	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-
EX	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-
NNPS	0.13	0.45	-	-	0.13	-	-	-	-	-	1.52	-	-	-	-	0.02	-	-	-	0.03	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-
FW	0.04	-	0.04	-	0.01	-	-	-	0.00	-	0.13	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-
UH	0.01	-	-	-	0.01	-	0.01	0.00	-	-	0.02	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.01	-	-	0.00	0.00	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.02	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.02	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
