------------------------------------------
Baseline:
Word Error Rate = 10.55071671167154
Known Word WER = 8.293629758223245
Unknown Word WER = 83.89799635701274
	NNS	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	PRP	NNP	VBN	CD	EX	DT	LS	NNPS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.955456051109793
Known Word WER = 3.726023711642343
Unknown Word WER = 44.907624251886546
	JJ	NNS	VBP	UH	VB	IN	RB	NN	NNP	VBD	VBN	VBG	RP	WDT	CD	RBS	DT	VBZ	NNPS	RBR	PDT	PRP$	JJR	POS	FW	CC	PRP	JJS	WP	LS	TO	SYM	MD	EX	''	,
NN	6.77	0.77	0.20	-	0.58	0.01	0.17	-	5.83	0.11	0.22	1.23	0.00	-	0.39	-	0.01	0.03	0.00	-	0.01	-	0.00	-	0.03	0.00	0.05	0.00	-	0.01	0.00	0.00	0.02	-	-	0.00
VBZ	0.15	1.10	0.12	-	0.05	-	-	0.20	0.36	0.22	0.02	0.06	-	-	0.04	-	-	-	0.00	-	-	-	-	0.22	0.00	-	-	-	-	-	-	-	-	-	-	-
VBN	2.74	0.01	0.01	0.00	0.14	-	0.01	0.40	0.41	2.84	-	0.15	-	-	0.09	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VB	0.23	0.00	1.51	0.01	-	0.02	0.03	0.83	0.30	0.11	0.15	0.08	-	-	0.13	-	-	0.00	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.47	0.02	0.03	0.03	0.07	2.97	-	0.54	0.54	0.01	0.14	0.02	1.56	-	0.05	0.00	0.21	0.00	-	0.42	0.04	-	0.02	-	0.00	0.06	-	0.01	-	0.00	-	-	-	0.06	-	-
DT	0.02	0.00	-	-	-	0.61	0.42	0.07	0.01	-	-	-	-	0.48	-	-	-	-	-	-	0.30	-	-	-	0.01	0.07	-	-	-	0.00	-	-	-	-	-	-
UH	0.01	-	0.00	-	0.00	-	0.03	0.03	0.03	-	0.00	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-
NNS	0.76	-	0.02	0.00	0.06	-	0.04	2.83	2.63	0.01	0.20	0.02	-	-	0.15	-	-	0.65	0.40	-	-	-	-	0.00	0.00	-	-	-	-	0.01	-	-	-	-	-	-
NNP	3.40	0.34	0.04	0.01	0.10	0.02	0.09	2.22	-	0.02	0.11	0.06	0.00	-	0.37	0.00	0.12	0.03	2.00	-	-	0.01	0.00	0.01	0.22	0.00	0.00	0.01	-	0.05	-	-	0.00	-	-	0.00
